 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,1.3,..,1.2,1.7,..,1.7,1.7,1.6,1.6,1.6,,1.6,1.6,1.5,1.5,1.5,1.4,1.6,..,..,..,1.1,..,..,..,..,1.1,1.0,1.0,1.0,1.1,1.2,1.2,1.2,1.4,1.4,1.5,1.4,1.3,..,..,..,..,..
Austria,0.7,0.8,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.0,,1.0,1.1,1.1,1.1,..,1.2,1.1,..,1.6,1.6,1.4,1.3,1.2,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.6,1.5,1.8,1.8,1.8,1.8,1.8,1.7,..,..,..,..,..
Belgium,1.0,1.0,1.0,..,..,..,0.9,0.9,0.8,..,,..,..,..,0.9,1.1,0.6,0.7,..,..,..,..,..,..,..,..,1.3,..,..,1.3,1.4,1.4,1.4,..,1.4,1.5,1.4,1.4,1.5,..,..,..,..,..
Canada,1.9,1.9,1.9,2.1,2.1,1.9,1.9,2.0,1.9,1.9,,1.9,1.9,2.1,2.1,2.3,2.2,..,..,1.7,..,..,..,..,..,..,..,..,1.8,1.6,1.8,1.9,1.9,..,1.3,1.7,1.6,1.6,1.7,..,..,..,..,..
Chile,1.5,1.8,..,..,..,..,..,0.6,..,..,,0.5,..,..,0.5,0.5,0.5,0.5,0.5,0.6,..,0.5,..,0.6,0.5,0.5,0.5,0.4,0.5,0.6,0.7,0.9,0.9,1.0,1.2,1.2,1.3,1.4,1.4,..,..,..,..,..
Colombia,0.4,0.6,..,..,0.6,0.6,..,..,..,0.5,,..,..,..,..,..,..,..,..,0.8,0.8,0.7,0.7,..,..,0.5,0.6,..,..,0.9,0.9,1.1,0.9,1.0,0.9,1.0,1.0,1.0,1.0,1.0,..,..,..,..
Costa Rica,2.2,..,1.8,1.5,..,..,1.9,..,1.7,1.7,,..,..,..,..,..,1.1,1.1,..,..,0.9,0.9,0.9,1.0,..,0.9,..,1.0,1.0,1.0,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.6,1.7,1.6,1.6,..,..,..
Czechia,..,..,..,..,..,..,..,..,..,..,,..,..,0.5,0.8,0.7,0.7,0.7,..,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8,1.1,1.0,0.9,1.0,0.9,1.1,1.0,0.9,0.8,0.8,0.7,0.7,..,..,..,..,..
Denmark,1.0,..,..,..,..,..,1.4,1.3,1.5,1.0,,..,1.2,..,2.0,1.9,1.8,1.9,..,2.1,2.3,2.4,2.6,2.6,2.4,2.4,2.3,2.2,2.2,2.1,2.3,2.3,2.4,2.2,2.3,2.3,..,..,2.5,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,0.9,0.9,1.0,1.2,1.2,1.0,1.1,..,1.0,1.1,1.0,0.8,0.9,..,1.0,1.1,1.3,1.2,1.2,1.0,1.4,1.4,1.4,1.4,1.1,..,..,..,..,..
