Country,Year,Population with Tertiary Education (%)
AUS,2013,45.745182
AUS,2014,48.13139
AUS,2015,48.466274
AUS,2016,49.30521
AUS,2017,51.989063
AUS,2018,51.393173
AUS,2019,52.478458
AUS,2020,54.614105
AUT,2013,38.666092
AUT,2014,38.403149
AUT,2015,38.626846
AUT,2016,39.671021
AUT,2017,40.324657
AUT,2018,40.458271
AUT,2019,41.610401
AUT,2020,41.419125
BEL,2013,42.663147
BEL,2014,44.239079
BEL,2015,43.144318
BEL,2016,44.311111
BEL,2017,45.725086
BEL,2018,47.397144
BEL,2019,47.282982
BEL,2020,48.508053
CAN,2013,57.603394
CAN,2014,57.725277
CAN,2015,59.182831
CAN,2016,60.582603
CAN,2017,60.916767
CAN,2018,61.754246
CAN,2019,62.965115
CAN,2020,64.386749
CZE,2013,29.195036
CZE,2014,29.88735
CZE,2015,31.010311
CZE,2016,32.564495
CZE,2017,33.821026
CZE,2018,33.328793
CZE,2019,32.580391
CZE,2020,33.001759
DNK,2013,40.929459
DNK,2014,42.130608
DNK,2015,43.043034
DNK,2016,44.594067
DNK,2017,45.537395
DNK,2018,45.83231
DNK,2019,47.097672
DNK,2020,42.575157
FIN,2013,39.992779
FIN,2014,40.308151
FIN,2015,40.524899
FIN,2016,41.13372
FIN,2017,41.253643
FIN,2018,41.313869
FIN,2019,41.820766
FIN,2020,44.665718
FRA,2013,44.055721
FRA,2014,44.726288
FRA,2015,44.687599
FRA,2016,44.036968
FRA,2017,44.34428
FRA,2018,46.937691
FRA,2019,48.052528
FRA,2020,49.449242
DEU,2013,29.995255
DEU,2014,28.422802
DEU,2015,29.588667
DEU,2016,30.527618
DEU,2017,31.308737
DEU,2018,32.281734
DEU,2019,33.260235
DEU,2020,34.876732
GRC,2013,37.168961
GRC,2014,38.66687
GRC,2015,40.063866
GRC,2016,40.979172
GRC,2017,42.479965
GRC,2018,42.821678
GRC,2019,42.406635
GRC,2020,43.685429
HUN,2013,30.876373
HUN,2014,32.109055
HUN,2015,32.12635
HUN,2016,30.400248
HUN,2017,30.162258
HUN,2018,30.576908
HUN,2019,30.589085
HUN,2020,30.688835
ISL,2013,37.768463
ISL,2014,38.405033
ISL,2015,37.672207
ISL,2016,40.021423
ISL,2017,42.677822
ISL,2018,42.116936
ISL,2019,42.176826
ISL,2020,38.304203
IRL,2013,51.073551
IRL,2014,50.768299
IRL,2015,52.004166
IRL,2016,53.430691
IRL,2017,53.473541
IRL,2018,56.174488
IRL,2019,55.44936
IRL,2020,58.383801
ITA,2013,22.744907
ITA,2014,24.158854
ITA,2015,25.149963
ITA,2016,25.584146
ITA,2017,26.816479
ITA,2018,27.863623
ITA,2019,27.931559
ITA,2020,28.628069
JPN,2013,58.368496
JPN,2014,58.585857
JPN,2015,59.646538
JPN,2016,60.120392
JPN,2017,60.426178
JPN,2018,60.730949
JPN,2019,61.514194
JPN,2020,63.54916
KOR,2013,67.088554
KOR,2014,67.665947
KOR,2015,68.861946
KOR,2016,69.851555
KOR,2017,69.752068
KOR,2018,69.574219
KOR,2019,69.802818
KOR,2020,69.812752
LUX,2013,48.131443
LUX,2014,52.928135
LUX,2015,49.945854
LUX,2016,51.431648
LUX,2017,51.395588
LUX,2018,54.780186
LUX,2019,54.989532
LUX,2020,58.153271
MEX,2013,20.856949
MEX,2014,20.312202
MEX,2015,20.806568
MEX,2016,21.791378
MEX,2017,22.555721
MEX,2018,23.359127
MEX,2019,23.587111
MEX,2020,25.290871
NLD,2013,43.793591
NLD,2014,45.43515
NLD,2015,46.253574
NLD,2016,46.487251
NLD,2017,47.994652
NLD,2018,49.308193
NLD,2019,49.565659
NLD,2020,52.15403
NZL,2014,40.402225
NZL,2015,39.066757
NZL,2016,43.396225
NZL,2017,44.158596
NZL,2018,45.811745
NZL,2019,43.792194
NZL,2020,43.913631
NOR,2013,46.648712
NOR,2014,49.008167
NOR,2015,48.138676
NOR,2016,48.614609
NOR,2017,48.337029
NOR,2018,48.211601
NOR,2019,48.658932
NOR,2020,50.841923
POL,2013,41.82151
POL,2014,42.60154
POL,2015,43.193764
POL,2016,43.47826
POL,2017,43.526325
POL,2018,43.523716
POL,2019,43.484364
POL,2020,42.433945
PRT,2013,29.313473
PRT,2014,31.439877
PRT,2015,33.139576
PRT,2016,34.969795
PRT,2017,34.031322
PRT,2018,35.078072
PRT,2019,37.36721
PRT,2020,41.910061
SVK,2013,29.674646
SVK,2014,29.826096
SVK,2015,31.312998
SVK,2016,33.372261
SVK,2017,35.065048
SVK,2018,37.208523
SVK,2019,39.158154
SVK,2020,39.042641
ESP,2013,41.089592
ESP,2014,41.477402
ESP,2015,40.959778
ESP,2016,40.980919
ESP,2017,42.644691
ESP,2018,44.259609
ESP,2019,46.508266
ESP,2020,47.379524
SWE,2013,44.817905
SWE,2014,45.978123
SWE,2015,46.408928
SWE,2016,47.215698
SWE,2017,47.388306
SWE,2018,47.530075
SWE,2019,48.373196
SWE,2020,49.133411
CHE,2013,41.891548
CHE,2014,44.214348
CHE,2015,46.502586
CHE,2016,48.844658
CHE,2017,50.136665
CHE,2018,51.206909
CHE,2019,52.695705
CHE,2020,52.972816
TUR,2013,22.456688
TUR,2014,24.793388
TUR,2015,27.517448
TUR,2016,30.456598
TUR,2017,31.588659
TUR,2018,33.280041
TUR,2019,35.325356
GBR,2013,48.31358
GBR,2014,49.185982
GBR,2015,49.943413
GBR,2016,51.775383
GBR,2017,51.624851
GBR,2018,50.752552
GBR,2019,51.809521
GBR,2020,55.833538
USA,2013,44.779469
USA,2014,45.663815
USA,2015,46.517712
USA,2016,47.521809
USA,2017,47.757
USA,2018,49.373737
USA,2019,50.380188
USA,2020,51.856071
CHL,2013,27.27248
CHL,2015,29.874573
CHL,2017,33.726387
CHL,2020,40.50774
EST,2013,40.439819
EST,2014,40.421608
EST,2015,40.508533
EST,2016,41.048111
EST,2017,43.041157
EST,2018,43.633705
EST,2019,42.760071
EST,2020,43.145798
ISR,2013,44.848808
ISR,2014,46.005543
ISR,2015,45.897861
ISR,2016,47.449234
ISR,2017,48.028301
ISR,2018,47.1143
ISR,2019,47.04248
ISR,2020,47.257065
SVN,2013,37.393593
SVN,2014,38.080215
SVN,2015,40.758549
SVN,2016,42.977364
SVN,2017,44.566971
SVN,2018,40.713264
SVN,2019,44.105736
SVN,2020,45.425419
AUS,2013,30.122944
AUS,2014,33.478767
AUS,2015,33.931976
AUS,2016,34.965424
AUS,2017,33.846718
AUS,2018,34.811333
AUS,2019,34.93531
AUS,2020,36.33168
CAN,2013,44.616062
CAN,2014,45.068905
CAN,2015,45.659027
CAN,2016,46.21072
CAN,2017,46.512562
CAN,2018,47.720543
CAN,2019,49.815067
CAN,2020,49.961525
CHE,2013,29.066446
CHE,2014,29.646446
CHE,2015,30.583302
CHE,2016,31.622665
CHE,2017,32.361843
CHE,2018,33.598095
CHE,2019,34.060177
CHE,2020,34.74041
USA,2013,41.813168
USA,2014,41.037685
USA,2015,41.438072
USA,2016,41.91584
USA,2017,42.03458
USA,2018,42.640469
USA,2019,43.367798
USA,2020,44.349422
BEL,2013,25.990313
BEL,2014,26.3417
BEL,2015,26.898981
BEL,2016,27.489843
BEL,2017,30.489338
BEL,2018,30.715139
BEL,2019,30.803074
BEL,2020,32.240898
PRT,2013,11.586498
PRT,2014,12.843122
PRT,2015,12.85942
PRT,2016,13.15822
PRT,2017,13.212984
PRT,2018,14.204625
PRT,2019,15.112891
PRT,2020,16.854103
SWE,2013,29.245855
SWE,2014,29.890686
SWE,2015,29.889202
SWE,2016,30.792175
SWE,2017,31.108749
SWE,2018,32.568508
SWE,2019,32.13031
SWE,2020,32.615288
GBR,2013,33.721207
GBR,2014,34.806614
GBR,2015,36.353416
GBR,2016,37.540337
GBR,2017,36.920013
GBR,2018,36.625004
GBR,2019,38.661789
GBR,2020,39.431053
EST,2013,35.245232
EST,2014,35.655609
EST,2015,35.411835
EST,2016,36.096016
EST,2017,36.385414
EST,2018,38.065086
EST,2019,39.69622
EST,2020,39.163609
HUN,2013,15.968519
HUN,2014,16.912523
HUN,2015,17.484018
HUN,2016,17.239086
HUN,2017,17.693697
HUN,2018,18.209913
HUN,2019,19.154903
HUN,2020,20.352089
ITA,2013,11.918595
ITA,2014,12.347163
ITA,2015,12.251569
ITA,2016,12.385381
ITA,2017,12.75355
ITA,2018,13.00257
ITA,2019,12.77423
ITA,2020,12.822833
LUX,2013,27.39637
LUX,2014,31.733719
LUX,2015,26.164223
LUX,2016,27.473686
LUX,2017,22.543402
LUX,2018,27.980574
LUX,2019,35.72953
LUX,2020,33.925625
NZL,2014,28.944292
NZL,2015,27.458397
NZL,2016,28.230469
NZL,2017,29.476734
NZL,2018,30.390432
NZL,2019,30.204012
NZL,2020,31.513025
SVN,2013,18.291885
SVN,2014,17.947746
SVN,2015,18.879032
SVN,2016,19.108551
SVN,2017,19.676037
SVN,2018,21.109079
SVN,2019,21.74276
SVN,2020,24.017242
AUT,2013,21.221413
AUT,2014,21.348083
AUT,2015,21.790869
AUT,2016,22.866629
AUT,2017,23.439724
AUT,2018,23.819229
AUT,2019,25.15774
AUT,2020,25.429699
CZE,2013,13.982365
CZE,2014,15.144274
CZE,2015,14.464107
CZE,2016,15.547841
CZE,2017,16.553169
CZE,2018,17.25849
CZE,2019,17.72208
CZE,2020,17.682322
FRA,2013,20.269491
FRA,2014,21.62896
FRA,2015,22.125341
FRA,2016,22.060652
FRA,2017,22.815599
FRA,2018,23.984407
FRA,2019,24.419941
FRA,2020,26.389603
CHL,2013,14.499148
CHL,2015,15.58989
CHL,2017,16.010725
CHL,2020,18.939341
NLD,2013,28.432667
NLD,2014,28.249592
NLD,2015,28.555567
NLD,2016,29.35091
NLD,2017,29.594606
NLD,2018,30.951637
NLD,2019,32.437172
NLD,2020,31.972731
POL,2013,13.200502
POL,2014,13.68884
POL,2015,13.60395
POL,2016,13.88941
POL,2017,15.109154
POL,2018,15.316555
POL,2019,15.962821
POL,2020,16.885086
ESP,2013,20.213316
ESP,2014,21.161011
ESP,2015,22.806669
ESP,2016,23.221613
ESP,2017,24.170084
ESP,2018,25.096329
ESP,2019,26.662975
ESP,2020,28.247385
TUR,2013,9.9697886
TUR,2014,9.9961329
TUR,2015,10.282258
TUR,2016,10.177762
TUR,2017,9.7605286
TUR,2018,10.014171
TUR,2019,10.968321
FIN,2013,31.800413
FIN,2014,34.174263
FIN,2015,36.346424
FIN,2016,37.021858
FIN,2017,38.493149
FIN,2018,40.055248
FIN,2019,41.015091
FIN,2020,42.936287
GRC,2013,20.816324
GRC,2014,21.076225
GRC,2015,20.164082
GRC,2016,20.874969
GRC,2017,22.022884
GRC,2018,21.946674
GRC,2019,23.115686
GRC,2020,23.971571
IRL,2013,25.840607
IRL,2014,24.311575
IRL,2015,26.939915
IRL,2016,29.543598
IRL,2017,29.879089
IRL,2018,31.170588
IRL,2019,32.16758
IRL,2020,33.423557
KOR,2013,15.070721
KOR,2014,17.33942
KOR,2015,18.330021
KOR,2016,19.659506
KOR,2017,21.343103
KOR,2018,23.097208
KOR,2019,24.380547
KOR,2020,25.077141
DNK,2013,28.404854
DNK,2014,29.069925
DNK,2015,27.946083
DNK,2016,29.706284
DNK,2017,30.281456
DNK,2018,30.057343
DNK,2019,30.750969
DNK,2020,29.927095
DEU,2013,26.589605
DEU,2014,25.469536
DEU,2015,25.612535
DEU,2016,26.290979
DEU,2017,26.336317
DEU,2018,26.330261
DEU,2019,26.91873
DEU,2020,27.56699
ISL,2013,24.776773
ISL,2014,27.99505
ISL,2015,28.342468
ISL,2016,26.994028
ISL,2017,28.556139
ISL,2018,28.869511
ISL,2019,29.809109
ISL,2020,31.339321
JPN,2013,33.763187
JPN,2014,35.049019
JPN,2015,38.177181
JPN,2016,39.72332
JPN,2017,41.066666
JPN,2018,43.001347
JPN,2019,44.489521
JPN,2020,45.491524
MEX,2013,11.506743
MEX,2014,11.814732
MEX,2015,12.136959
MEX,2016,12.60333
MEX,2017,13.356908
