Country,Year,Primary Completion Rate (%),Upper Secondary Completion Rate (%),Lower Secondary Completion Rate (%),Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
AUS,2010,,85.02,99.15,105.61943,,
AUS,1995,,,,101.29127,143.23387,70.68857
AUS,1996,,,,101.58029,148.636,75.64778
AUS,1997,,,,101.18403,152.93597,80.90665
AUS,1998,,,,100.92862,,
AUS,1999,,,,100.65884,,
AUS,2000,,,,100.72193,,
AUS,2001,,,,100.63978,,
AUS,2002,,,,101.54878,,
AUS,2003,,,,101.67431,,
AUS,2004,,,,102.26413,,
AUS,2005,,,,102.73932,,
AUS,2006,,,,103.30405,,
AUS,2007,,,,105.18305,,
AUS,2008,,,,105.14112,,
AUS,2009,,,,105.30213,,
AUS,2011,,,,105.68968,,
AUS,2012,,,,105.98445,,
AUS,2013,,,,105.99385,,
AUS,2014,,,,105.45709,,
AUS,2015,,,,101.59991,157.16766,118.61086
AUS,2016,,,,100.74441,153.0132,120.96571
AUS,2017,,,,100.33898,150.31148,113.14216
AUS,2018,,,,100.16059,132.77289,107.80805
AUS,2019,,,,99.72715,140.64604,115.95204
AUS,2020,,,,99.02161,134.45052,114.18989
AUT,1998,100.91772,,,103.63034,97.74473,52.39628
AUT,1999,100.87488,,,103.78485,98.4441,
AUT,2002,100.2222,,,101.25148,99.02117,
AUT,2004,98.7443,,,100.72132,99.52356,
AUT,2011,96.77202,85.21,99.19,99.7387,98.06147,78.49945
AUT,2012,96.69372,,,100.59906,97.84332,78.93891
AUT,2013,97.60601,91.64,99.23,101.21012,99.19738,79.6554
AUT,2014,98.69185,88.32,98.7,101.62819,99.66308,79.1587
AUT,2015,100.37379,,,101.99748,100.321,80.71942
AUT,2016,99.65672,,,102.26436,100.96302,83.45495
AUT,2017,99.45318,,,103.11315,100.45521,85.05714
AUT,2018,99.813,,,103.31685,99.95784,86.68835
AUT,2019,99.4085,,,103.10493,100.1937,86.47553
AUT,2005,,86.81,98.66,100.83262,100.35335,
AUT,1995,,,,102.36504,106.58471,44.97695
AUT,1996,,,,102.39691,105.65033,47.49055
AUT,1997,,,,102.8261,105.12297,49.56702
AUT,2000,,,,103.67232,98.69606,
AUT,2001,,,,102.94747,98.9575,
AUT,2003,,,,100.46382,99.4792,
AUT,2006,,,,101.55929,100.32996,
AUT,2007,,,,101.67125,99.70887,63.04729
AUT,2008,,,,100.72594,99.42073,65.8869
AUT,2009,,,,100.20248,99.64985,68.11265
AUT,2010,,,,99.78978,98.80721,75.62378
AUT,2020,,,,102.4987,100.3741,87.21139
BEL,2005,,85.19,89.76,100.46234,159.89014,61.08548
BEL,2011,,85.18,88.8,101.9468,156.63316,69.84253
BEL,2013,,81.8,88.1,103.82197,160.91924,72.11549
BEL,2014,,86.18,92.31,103.64806,162.29935,72.9974
BEL,1995,,,,101.79541,146.5033,53.43437
BEL,1996,,,,102.01518,146.36201,55.44696
BEL,1999,,,,103.82362,141.85725,57.12717
BEL,2000,,,,104.83442,144.87628,58.16906
BEL,2001,,,,104.07656,153.80124,58.85634
BEL,2002,,,,103.16723,155.90697,59.38278
BEL,2003,,,,102.36091,158.63028,59.83446
BEL,2004,,,,100.80021,153.40533,61.02287
BEL,2006,,,,100.73419,161.01921,61.65359
BEL,2007,,,,101.53422,159.51427,61.20013
BEL,2008,,,,102.15756,158.74341,62.08624
BEL,2009,,,,102.12756,156.63837,65.26769
BEL,2010,,,,101.92424,156.86153,67.82901
BEL,2012,,,,102.25605,157.79477,71.19202
BEL,2015,,,,103.15581,163.93472,74.55976
BEL,2016,,,,103.31777,161.03316,75.89064
BEL,2017,,,,103.90557,158.54185,79.66173
BEL,2018,,,,103.3507,155.96107,78.90117
BEL,2019,,,,102.61951,156.08061,80.13817
BEL,2020,,,,102.1535,151.57481,80.88875
CAN,1998,94.67921,,,99.82164,105.60397,59.50188
CAN,1999,96.13758,,,100.25747,102.37614,60.25187
CAN,2000,97.81784,,,100.78877,101.92313,59.11446
CAN,2010,,85.7,99.51,98.6416,102.39848,61.65585
CAN,1995,,,,101.81008,105.15247,90.5424
CAN,1996,,,,102.81308,105.47692,89.21377
CAN,2004,,,,98.4768,,
CAN,2005,,,,97.36457,101.39119,
CAN,2006,,,,98.88063,101.72825,
CAN,2007,,,,98.96648,101.90349,63.60006
CAN,2008,,,,98.01331,102.34444,63.7674
CAN,2009,,,,99.0088,102.73444,63.06577
CAN,2011,,,,98.18937,103.34896,63.46732
CAN,2012,,,,99.51828,109.98749,63.98077
CAN,2013,,,,100.34071,109.48599,65.3323
CAN,2014,,,,101.53666,109.3331,65.61291
CAN,2015,,,,102.48508,110.35653,64.78696
CAN,2016,,,,101.02387,112.51428,66.43918
CAN,2017,,,,100.94368,113.76286,68.92251
CAN,2018,,,,101.50109,114.12351,70.11302
CAN,2019,,,,100.98975,114.33327,75.69882
CAN,2020,,,,101.84862,114.86616,79.51692
CAN,2002,,,,,,59.54659
CHL,2011,95.71445,80.71,94.24,103.40725,90.46908,72.27679
CHL,2012,98.82017,,,103.24807,89.50108,75.93107
CHL,2013,98.69904,82.38,94.49,101.45874,99.59392,79.95629
CHL,2014,98.90056,,,100.94146,100.68209,82.84638
CHL,2015,96.97696,84.47,95.05,100.68484,101.78093,85.26672
CHL,2016,95.48255,,,100.97826,101.77753,87.18814
CHL,2017,94.75356,85.75,95.9,101.43016,101.83142,88.46442
CHL,2018,96.2421,,,102.17922,102.36755,90.89631
CHL,2019,98.24702,,,102.37054,103.66516,93.10113
CHL,2000,,65.13,90.29,103.01351,85.52158,35.3763
CHL,2002,,66.62905,92.11625,100.84305,88.94139,40.37825
CHL,2003,,73.47,93.98,99.72118,91.27257,43.46954
CHL,2006,,79.48,94.07,105.41235,93.25523,48.23467
CHL,2009,,80.29,94.43,106.50496,88.97956,60.9115
CHL,1996,,,,100.30411,,29.20949
CHL,1997,,,,78.36396,,30.10981
CHL,1998,,,,103.00903,78.90661,32.00794
CHL,1999,,,,103.76987,81.49079,35.36762
CHL,2004,,,,104.155,92.37826,43.93025
CHL,2005,,,,104.56108,93.49675,49.36884
CHL,2007,,,,106.78148,92.0882,53.95667
CHL,2008,,,,107.54435,91.385,56.73127
CHL,2010,,,,103.75048,90.00819,67.86343
CHL,2020,,,,101.48326,103.64185,91.66935
CHL,1995,,,,,,27.43599
COL,1995,87.99538,,,113.99457,64.54894,16.66974
COL,1996,89.4512,,,118.56033,68.84364,17.91042
COL,1998,95.56419,,,120.84898,73.8698,23.67216
COL,1999,96.71854,,,119.63711,74.12106,23.29743
COL,2000,96.01168,50.06,57.46,119.38394,73.0866,24.492
COL,2001,92.80086,,,116.24857,,25.34747
COL,2002,92.8196,53.43,59.91,117.15305,74.63544,25.43061
COL,2004,100.10397,56.5,64.15,119.58101,79.10735,28.13663
COL,2005,104.17311,57.08034,62.39503,121.52662,82.8622,30.69216
COL,2006,110.58097,,,122.43024,86.28616,32.69948
COL,2007,112.73173,,,123.15247,89.21082,33.74994
COL,2008,113.02171,61.32,70.68,123.64575,90.78519,36.07695
COL,2009,117.86193,61.05,69.53,124.57891,95.26943,37.51899
COL,2010,116.95599,65.16154,72.60894,120.32321,97.54612,39.41332
COL,2011,115.31002,64.86,72.49,117.66947,99.15143,43.03231
COL,2012,109.66822,65.61,72.62,114.96005,95.40426,45.3073
COL,2013,99.79444,67.14,74.0,116.26921,96.1404,48.73311
COL,2014,99.2422,68.1,74.57,114.54442,94.98767,51.41638
COL,2015,100.03305,72.65736,76.10451,115.23189,94.71927,53.28214
COL,2016,101.71125,70.06,76.66,116.2337,95.01463,55.48425
COL,2017,105.9868,71.6,75.99,114.98327,95.73023,56.43403
COL,2018,106.76939,71.95,76.62,114.52666,97.50623,55.32749
COL,2019,106.76573,,,114.00099,100.80631,54.97652
COL,2003,,54.17,61.65,,,
COL,2020,,,,112.67577,101.79576,54.23929
COL,1997,,,,,,21.10671
CRI,1995,80.54984,,,103.87186,50.0523,
CRI,1996,81.92178,,,104.19657,49.48251,
CRI,1999,82.95271,,,112.08812,63.20633,
CRI,2000,88.31564,36.24,44.5,109.10442,62.0568,
CRI,2001,91.27375,37.53,46.96,109.81272,66.85674,
CRI,2002,93.49245,36.09,49.4,109.20161,68.09944,
CRI,2004,94.08341,38.84,51.47,113.81433,79.50946,26.6577
CRI,2005,93.50606,37.89,50.82,111.86185,81.59254,
CRI,2006,90.26893,40.65,52.93,114.12326,88.41922,
CRI,2007,92.70089,39.43,53.35,113.68903,89.83688,
CRI,2008,94.4894,41.15,58.66,115.35181,91.26713,
CRI,2009,97.94899,42.94,59.78,116.95175,98.09202,
CRI,2010,99.32607,47.72,61.49,116.89937,101.07974,
CRI,2011,104.36045,46.41372,64.28467,115.88819,103.8047,45.81894
CRI,2012,102.4104,51.56,63.19,114.66955,107.4917,48.10857
CRI,2013,98.64965,53.13,64.56,112.32019,114.39269,49.00672
CRI,2014,98.42607,54.72,66.57,111.77286,120.12722,52.23117
CRI,2015,99.5866,52.59,68.2,111.29795,122.78658,53.05263
CRI,2016,97.32091,55.46,68.95,111.76114,125.81616,53.6387
CRI,2017,96.77837,57.35,68.2,110.83347,128.92963,56.52795
CRI,2018,98.59437,58.38,73.47,113.29429,132.81693,55.3101
CRI,2019,102.73805,,,116.18229,141.36398,57.67482
CRI,2020,104.59214,,,115.00532,142.01749,
CRI,2003,,38.87,50.29,,,
