Country,Year,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross)
AFG,1974,33.1083,10.91069,1.0226
AFG,1977,36.11149,13.13156,1.40822
AFG,1978,37.63702,13.82176,1.80833
AFG,1980,44.13337,16.76427,
AFG,1981,47.7117,19.32814,
AFG,1984,21.9917,12.37108,
AFG,1985,23.91285,13.1001,
AFG,1993,29.10315,15.42397,
AFG,2016,102.48647,51.65594,
AFG,2017,102.17579,53.6432,
AFG,2018,103.99616,55.42521,9.68642
AFG,2019,106.70108,,
AFG,2011,97.64164,51.75691,3.62226
AFG,2015,103.53452,51.66995,
AFG,1970,31.17659,8.30642,0.76877
AFG,1971,32.00761,9.31527,0.92388
AFG,1972,32.26189,10.30276,0.95113
AFG,1973,32.58422,10.77583,1.09459
AFG,1975,34.1852,11.37271,1.11732
AFG,1976,35.23205,12.27649,1.26757
AFG,1982,17.30882,10.59393,1.72288
AFG,1986,25.85167,12.09805,2.1554
AFG,1988,32.54501,13.20184,
AFG,1989,30.252,12.65581,
AFG,1990,29.04142,10.84996,2.21141
AFG,1991,27.41422,15.59009,
AFG,1994,40.00014,21.44198,
AFG,1995,42.75143,20.82245,
AFG,1998,31.05335,,
AFG,1999,25.30797,,
AFG,2000,20.95758,,
AFG,2001,20.88291,12.32462,
AFG,2002,68.98685,,
AFG,2003,93.36218,12.54889,1.20234
AFG,2004,104.66382,17.56808,1.19937
AFG,2005,98.09989,18.61681,
AFG,2006,101.69785,28.25587,
AFG,2007,98.93351,28.49334,
AFG,2008,100.77973,38.19398,
AFG,2009,96.8964,44.42038,3.77498
AFG,2010,100.07171,50.56725,
AFG,2012,103.49239,53.61805,
AFG,2013,104.49843,53.57513,
AFG,2014,105.91971,52.5829,8.23068
AFG,1979,,,1.94564
AFG,1987,,,1.70774
AFG,2020,,,10.56252
ALB,1996,106.30182,67.86755,10.93945
ALB,2000,104.19619,71.07808,15.53661
ALB,2001,102.96737,72.53716,15.90463
ALB,2003,100.00514,75.24344,16.65724
ALB,2004,98.178,74.80221,19.89044
ALB,2007,96.34563,82.20059,30.68713
ALB,2008,95.6825,84.12509,32.0928
ALB,2009,93.10456,85.69499,33.38555
ALB,2010,93.49047,88.10389,44.54925
ALB,2011,95.00608,89.79816,49.8787
ALB,2012,97.58513,92.28983,59.25201
ALB,2013,99.98391,96.25608,64.63443
ALB,2014,104.10804,97.68487,65.78297
ALB,2015,105.54298,97.38848,62.00762
ALB,2016,105.55386,95.715,58.38185
ALB,2017,107.0466,95.26589,57.37526
ALB,2018,106.99342,95.43233,54.96133
ALB,2019,104.81274,95.08659,59.7785
ALB,2020,100.15192,94.28033,57.81314
ALB,2005,100.67604,77.90939,23.18983
ALB,1976,119.32974,84.97426,
ALB,1978,114.95519,86.50983,5.83142
ALB,1979,112.15107,88.25525,
ALB,1980,107.44397,90.19371,
ALB,1981,104.95196,91.18642,5.1894
ALB,1982,103.52771,87.04559,
ALB,1983,102.56646,82.00112,5.92612
ALB,1984,103.48936,82.24953,6.55999
ALB,1985,103.67783,85.28297,7.02591
ALB,1986,103.56321,88.39249,7.22121
ALB,1987,101.45642,87.83218,7.32687
ALB,1988,99.58477,88.60357,7.73796
ALB,1989,99.43751,88.8033,8.14828
ALB,1990,99.45175,90.08174,8.36636
ALB,1991,101.23315,90.89363,8.85533
ALB,1992,99.55587,77.71476,9.28732
ALB,1993,98.52026,70.33512,11.17761
ALB,1994,101.52879,68.72906,10.63358
ALB,1995,104.04384,68.67849,10.20282
ALB,1997,108.01988,69.36618,12.69972
ALB,1998,107.17116,71.31361,13.55017
ALB,1999,105.73665,71.54467,14.74777
ALB,2002,101.41151,72.86855,16.31143
ALB,2006,97.87571,79.18955,26.63714
ALB,2021,95.92178,96.11463,56.72153
ALB,1971,,,13.90814
ALB,1972,,,14.92791
DZA,1972,78.60242,12.14916,
DZA,1973,83.28133,13.61504,
DZA,1974,87.0531,14.84966,
DZA,1975,89.16047,16.13894,
DZA,1976,92.15442,18.51935,
DZA,1977,94.10461,21.65029,
DZA,1978,95.1513,25.48592,
DZA,1979,94.87488,28.15845,
DZA,1980,94.76815,30.23278,
DZA,1981,93.68376,32.35521,
DZA,1982,92.56479,35.41365,
DZA,1983,91.36303,38.71697,
DZA,1984,90.95262,42.09112,
DZA,1985,90.08359,45.29893,
DZA,1986,89.04636,49.65709,
DZA,1987,90.2454,52.16117,9.04504
DZA,1988,91.75679,53.22945,8.86452
DZA,1989,92.00285,59.94152,
DZA,1990,92.59344,59.41419,10.29314
DZA,1991,94.4481,57.86551,11.0127
DZA,1992,96.47965,57.57251,11.14538
DZA,1993,96.78732,57.70078,10.98829
DZA,1994,97.42167,58.72354,10.46949
DZA,1995,97.44247,58.66543,10.15425
DZA,1996,98.5931,58.98059,11.41825
DZA,1997,99.74812,59.51635,
DZA,1999,102.75233,65.6775,13.72464
DZA,2000,105.16491,65.11698,
DZA,2001,104.0217,68.81998,15.65381
DZA,2002,105.14247,71.94891,17.37116
