Country,Year,GDP per Capita
AUS,2013,47763.2159
AUS,2014,47606.754929
AUS,2015,47226.759745
AUS,2016,50136.798381
AUS,2017,50706.489861
AUS,2018,53025.386896
AUS,2019,52785.250556
AUS,2020,55772.741079
AUT,2013,47936.677963
AUT,2014,48813.534409
AUT,2015,49942.056293
AUT,2016,52665.087457
AUT,2017,54188.360666
AUT,2018,56956.110562
AUT,2019,59716.251399
AUT,2020,57235.673886
BEL,2013,43672.712292
BEL,2014,44929.933328
BEL,2015,46201.685891
BEL,2016,48599.202676
BEL,2017,50442.947518
BEL,2018,52530.84151
BEL,2019,55804.713631
BEL,2020,54544.41924
CAN,2013,44298.514462
CAN,2014,45753.782936
CAN,2015,44670.054374
CAN,2016,46472.368771
CAN,2017,48317.191163
CAN,2018,49992.811418
CAN,2019,49832.414539
CAN,2020,47226.357276
CZE,2013,30828.526409
CZE,2014,32504.217576
CZE,2015,33909.309243
CZE,2016,36101.285601
CZE,2017,38842.896268
CZE,2018,41157.370409
CZE,2019,44223.295751
CZE,2020,42817.867499
DNK,2013,46742.939663
DNK,2014,47905.477079
DNK,2015,49058.142344
DNK,2016,51967.020438
DNK,2017,55356.49009
DNK,2018,57479.350221
DNK,2019,59884.11738
DNK,2020,60768.060489
FIN,2013,41492.918416
FIN,2014,41749.864733
FIN,2015,42490.211049
FIN,2016,44934.488245
FIN,2017,47570.270354
FIN,2018,49573.255773
FIN,2019,51811.599332
FIN,2020,52294.342491
FRA,2013,39528.473644
FRA,2014,40144.059485
FRA,2015,40829.893311
FRA,2016,42855.944562
FRA,2017,44444.934559
FRA,2018,46336.933985
FRA,2019,50226.680167
FRA,2020,47982.359606
DEU,2013,44993.667838
DEU,2014,47011.280402
DEU,2015,47609.557159
DEU,2016,50579.483717
DEU,2017,53071.478374
DEU,2018,55195.722049
DEU,2019,57411.520685
DEU,2020,56454.181109
GRC,2013,25986.640698
GRC,2014,26625.159298
GRC,2015,26760.280798
GRC,2016,27511.803202
GRC,2017,28604.829152
GRC,2018,29617.518625
GRC,2019,31155.946796
GRC,2020,28416.523031
HUN,2013,24547.980456
HUN,2014,25691.527335
HUN,2015,26798.854228
HUN,2016,27941.926751
HUN,2017,29496.163748
HUN,2018,31908.863431
HUN,2019,34645.565383
HUN,2020,34169.922355
ISL,2013,44404.731588
ISL,2014,45995.001692
ISL,2015,49203.294991
ISL,2016,53486.615773
ISL,2017,55638.491978
ISL,2018,57201.173335
ISL,2019,59644.706533
ISL,2020,54330.385248
IRL,2013,47836.18565
IRL,2014,51296.92985
IRL,2015,69305.538798
IRL,2016,71505.746281
IRL,2017,78252.205616
IRL,2018,85034.728547
IRL,2019,89759.238887
IRL,2020,94646.640757
ITA,2013,36267.925352
ITA,2014,36475.976061
ITA,2015,37206.331822
ITA,2016,40267.222623
ITA,2017,41951.466331
ITA,2018,43427.663143
ITA,2019,45799.741922
ITA,2020,43150.115981
JPN,2013,39436.682585
JPN,2014,39559.763471
JPN,2015,40908.781547
JPN,2016,40642.704531
JPN,2017,41531.221619
JPN,2018,42264.585123
JPN,2019,42427.125075
JPN,2020,41867.153393
KOR,2013,34244.239492
KOR,2014,35324.260296
KOR,2015,37902.361018
KOR,2016,39575.302078
KOR,2017,40957.347064
KOR,2018,43044.340145
KOR,2019,43410.152957
KOR,2020,44694.939796
LUX,2013,100561.366405
LUX,2014,104917.945675
LUX,2015,107898.304236
LUX,2016,112955.470175
LUX,2017,114862.528755
LUX,2018,116334.724739
LUX,2019,119364.151427
LUX,2020,119407.898814
MEX,2013,17437.042083
MEX,2014,18153.351036
MEX,2015,18430.218897
MEX,2016,19791.259772
MEX,2017,20201.856549
MEX,2018,20561.246895
MEX,2019,20244.557477
MEX,2020,18465.575374
NLD,2013,49242.786711
NLD,2014,49233.230349
NLD,2015,50288.352815
NLD,2016,52289.404292
NLD,2017,55089.58143
NLD,2018,57825.399708
NLD,2019,60207.9957
NLD,2020,59821.266235
NZL,2013,36084.865782
NZL,2014,37084.794142
NZL,2015,37246.951138
NZL,2016,39696.946073
NZL,2017,41994.487818
NZL,2018,42320.906448
NZL,2019,45518.307468
NZL,2020,45457.178769
NOR,2013,67372.928181
NOR,2014,66335.459647
NOR,2015,60721.583813
NOR,2016,59263.430471
NOR,2017,64589.163172
NOR,2018,70252.735449
NOR,2019,69915.01766
NOR,2020,65135.920669
POL,2013,24028.186721
POL,2014,25005.655694
POL,2015,26495.814917
POL,2016,27830.927735
POL,2017,29609.446369
POL,2018,31662.210541
POL,2019,34592.873746
POL,2020,34896.8226
PRT,2013,27936.006299
PRT,2014,28742.313125
PRT,2015,29660.845901
PRT,2016,31607.610185
PRT,2017,33044.70015
PRT,2018,34928.61899
PRT,2019,37299.182306
PRT,2020,34955.61156
SVK,2013,28021.090416
SVK,2014,29029.587681
SVK,2015,30062.179649
SVK,2016,29737.53009
SVK,2017,30147.015977
SVK,2018,31374.187996
SVK,2019,33459.324263
SVK,2020,32912.709886
ESP,2013,32463.123679
ESP,2014,33558.976673
ESP,2015,34945.481614
ESP,2016,37333.06491
ESP,2017,39601.479631
ESP,2018,40776.768298
ESP,2019,43135.741954
ESP,2020,38030.728528
SWE,2013,46312.397402
SWE,2014,47184.673173
SWE,2015,49103.131953
SWE,2016,50430.25079
SWE,2017,51947.95578
SWE,2018,53521.635778
SWE,2019,56404.297122
SWE,2020,56140.551353
CHE,2013,61656.490978
CHE,2014,63417.043081
CHE,2015,65265.050827
CHE,2016,67350.735189
CHE,2017,68193.502958
CHE,2018,70688.84449
CHE,2019,72668.72555
CHE,2020,70810.837738
TUR,2013,22373.136543
TUR,2014,24104.984583
TUR,2015,25855.912681
TUR,2016,26695.909373
TUR,2017,28193.061398
TUR,2018,28281.473275
TUR,2019,28011.322789
TUR,2020,27973.899303
GBR,2013,39968.102283
GBR,2014,41281.542063
GBR,2015,42500.909156
GBR,2016,44057.689096
GBR,2017,46061.354379
GBR,2018,47107.7092
