Country,Year,Government Spending Teritary (% GDP)
AUS,1980,1.3
AUT,1980,0.7
BEL,1980,1.0
CAN,1980,1.9
CHL,1980,1.5
COL,1980,0.4
CRI,1980,2.2
CZE,1980,..
DNK,1980,1.0
EST,1980,..
FIN,1980,1.0
FRA,1980,0.6
DEU,1980,..
GRC,1980,..
HUN,1980,..
ISL,1980,..
IRL,1980,1.0
ISR,1980,1.9
ITA,1980,..
JPN,1980,0.5
KOR,1980,0.4
LTU,1980,..
LUX,1980,0.1
MEX,1980,..
NLD,1980,1.8
NZL,1980,1.3
NOR,1980,0.8
POL,1980,..
PRT,1980,0.4
SVK,1980,..
SVN,1980,..
ESP,1980,..
SWE,1980,0.7
CHE,1980,0.9
TUR,1980,..
GBR,1980,1.1
USA,1980,..
LVA,1980,..
,1980,
AUS,1981,..
AUT,1981,0.8
BEL,1981,1.0
CAN,1981,1.9
CHL,1981,1.8
COL,1981,0.6
CRI,1981,..
CZE,1981,..
DNK,1981,..
EST,1981,..
FIN,1981,1.0
FRA,1981,0.7
DEU,1981,..
GRC,1981,0.4
HUN,1981,..
ISL,1981,..
IRL,1981,1.1
ISR,1981,1.7
ITA,1981,..
JPN,1981,0.5
KOR,1981,0.3
LTU,1981,..
LUX,1981,0.1
MEX,1981,..
NLD,1981,1.7
NZL,1981,1.3
NOR,1981,0.8
POL,1981,..
PRT,1981,0.4
SVK,1981,..
SVN,1981,..
ESP,1981,..
SWE,1981,0.7
CHE,1981,0.9
TUR,1981,0.7
GBR,1981,1.2
USA,1981,..
LVA,1981,..
,1981,
AUS,1982,1.2
AUT,1982,0.8
BEL,1982,1.0
CAN,1982,1.9
CHL,1982,..
COL,1982,..
CRI,1982,1.8
CZE,1982,..
DNK,1982,..
EST,1982,..
FIN,1982,1.0
FRA,1982,0.7
DEU,1982,..
GRC,1982,0.4
HUN,1982,..
ISL,1982,..
IRL,1982,1.0
ISR,1982,1.6
ITA,1982,..
JPN,1982,0.5
KOR,1982,1.8
