Country,Year,Government Expenditure On Education (%)
AFG,1971,1.16036
AFG,1972,1.11718
AFG,1973,1.42788
AFG,1975,1.30332
AFG,1979,1.73981
AFG,1980,1.84093
AFG,1981,1.90917
AFG,1982,1.72998
AFG,2005,2.57
AFG,2006,2.9
AFG,2007,2.85
AFG,2008,3.51
AFG,2009,3.73
AFG,2010,3.47945
AFG,2011,3.46201
AFG,2012,3.32
AFG,2013,3.45446
AFG,2014,3.69522
AFG,2015,3.2558
AFG,2016,3.51198
AFG,2017,3.37331
AFG,2018,3.19979
AFG,2019,3.21378
AFG,2020,2.8608594
ALB,1994,3.44698
ALB,1995,3.81464
ALB,1996,3.08351
ALB,1997,3.37947
ALB,1998,3.53698
ALB,1999,3.59293
ALB,2000,3.43017
ALB,2001,3.4587
ALB,2002,3.1178
ALB,2003,3.13823
ALB,2004,3.22752
ALB,2005,3.28155
ALB,2006,3.19146
ALB,2007,3.27593
ALB,2010,3.413075
ALB,2011,3.08
ALB,2012,2.93
ALB,2013,3.5393
ALB,2014,3.05
ALB,2015,3.43797
ALB,2016,3.96209
ALB,2017,3.61173
ALB,2018,3.1549013
ALB,2019,3.91665
ALB,2020,3.1
DZA,1979,7.18201
DZA,1980,6.59742
DZA,2006,4.62
DZA,2007,4.96
DZA,2008,4.33702
DZA,2009,6.03
DZA,2012,7.637597
DZA,2013,7.2922964
DZA,2014,7.318701
DZA,2015,7.9629674
DZA,2016,7.34436
DZA,2017,6.50538
DZA,2018,5.86635
DZA,2019,6.10036
DZA,2020,7.0423975
ASM,2006,14.71705
AND,1997,3.71328
AND,2002,1.65971
AND,2004,1.54412
AND,2005,1.64497
AND,2006,2.2449
AND,2007,2.10469
AND,2008,2.87393
AND,2009,3.14292
AND,2010,2.97663
AND,2011,2.98706
AND,2013,2.50616
AND,2014,3.07421
AND,2015,3.28035
AND,2016,3.23707
AND,2017,3.21709
AND,2018,3.24672
AND,2019,3.15061
AND,2021,2.88
AGO,1985,4.09022
AGO,1986,5.72269
AGO,1987,5.05851
AGO,1998,2.56712
AGO,2000,2.60753
AGO,2005,2.12011
AGO,2006,2.28146
AGO,2007,2.92
AGO,2008,2.69
AGO,2009,3.21
AGO,2010,3.42132
AGO,2011,3.03
AGO,2012,3.08191
AGO,2013,4.43895
AGO,2014,3.12292
AGO,2015,3.4869
AGO,2016,2.75494
AGO,2017,2.46688
AGO,2018,2.0447
AGO,2019,1.92746
AGO,2020,2.4152
ATG,1999,2.75397
ATG,2002,3.39525
ATG,2009,2.50889
ATG,2012,2.4852476
ATG,2013,2.6064758
ATG,2014,2.701471
ATG,2015,2.840734
ATG,2016,2.4308
ATG,2017,2.44848
ATG,2018,2.64408
ATG,2019,2.83134
ATG,2020,3.45312
ATG,2021,3.83625
,2004,4.67072
,2006,4.00178
,2008,4.22755
,2009,3.59
,2010,3.9811118
,2011,3.41
,2012,3.62872
,2013,3.9769201
,2014,3.8
,2015,3.93085
,2016,4.38
,2017,3.74856
,2018,4.4174848
,2019,2.98847
,2020,3.67
ARG,1970,1.45809
ARG,1972,1.9362
ARG,1973,1.78052
ARG,1974,1.92352
ARG,1975,1.8436
ARG,1976,1.16564
ARG,1977,1.71984
ARG,1978,1.93555
ARG,1979,2.40028
ARG,1980,2.60715
ARG,1982,1.59787
ARG,1983,1.6175
ARG,1984,2.56972
ARG,1985,1.36186
ARG,1986,1.26155
ARG,1987,1.2823
