Country,Year,Private Spending on Education (%)
AUS,2000,0.7484281
AUS,2005,0.8287115
AUS,2008,0.8444961
AUS,2009,0.882858
AUS,2010,0.8967082
AUS,2011,0.885928
AUS,2012,0.8811557
AUS,2013,0.9729007
AUS,2014,1.133321
AUS,2015,1.264779
AUS,2016,1.157713
AUS,2017,1.287303
AUS,2018,1.230631
AUS,2019,1.275049
AUS,2020,1.195328
AUT,2012,0.0848139
AUT,2013,0.0941667
AUT,2014,0.0952197
AUT,2015,0.1085892
AUT,2016,0.1120239
AUT,2017,0.1524991
AUT,2018,0.1829094
AUT,2019,0.1927455
AUT,2020,0.184251
BEL,2005,0.1106903
BEL,2008,0.125309
BEL,2009,0.1382482
BEL,2010,0.1357874
BEL,2011,0.1338093
BEL,2012,0.1881216
BEL,2013,0.198055
BEL,2014,0.2019454
BEL,2015,0.1996522
BEL,2016,0.2148424
BEL,2017,0.2112214
BEL,2018,0.2010002
BEL,2019,0.1900409
BEL,2020,0.2116795
CAN,2000,0.9490469
CAN,2005,1.092758
CAN,2008,0.9002502
CAN,2009,1.136901
CAN,2010,1.172812
CAN,2011,1.172401
CAN,2012,0.9234227
CAN,2013,0.9894004
CAN,2014,1.006665
CAN,2015,0.920499
CAN,2016,1.096771
CAN,2017,1.065671
CAN,2018,1.108418
CAN,2019,1.008947
CAN,2020,1.154651
CZE,1995,0.2332197
CZE,2000,0.1077028
CZE,2005,0.1770544
CZE,2008,0.2218578
CZE,2009,0.235089
CZE,2010,0.2378783
CZE,2011,0.2518085
CZE,2012,0.2542751
CZE,2013,0.2541833
CZE,2014,0.2430583
CZE,2015,0.2287368
CZE,2016,0.2229136
CZE,2017,0.2154202
CZE,2018,0.2082088
CZE,2019,0.1999905
CZE,2020,0.2049564
DNK,1995,0.0095515
DNK,2000,0.0362496
DNK,2005,0.0546297
DNK,2008,0.0708416
DNK,2009,0.0814899
DNK,2010,0.0889162
DNK,2011,0.097861
DNK,2013,0.0990549
DNK,2014,0.0872719
DNK,2016,0.152623
DNK,2017,0.1638425
DNK,2018,0.195392
DNK,2019,0.198524
DNK,2020,0.220709
FIN,1995,0.0422328
FIN,2000,0.0454339
FIN,2005,0.0639616
FIN,2008,0.0736556
FIN,2009,0.0762863
FIN,2010,0.074282
FIN,2011,0.0762511
FIN,2012,0.0701564
FIN,2013,0.0706135
FIN,2014,0.0619807
FIN,2015,0.0585163
FIN,2016,0.056618
FIN,2017,0.0547928
FIN,2018,0.0580363
FIN,2019,0.0632837
FIN,2020,0.0686658
FRA,2005,0.2107361
FRA,2008,0.2516789
FRA,2009,0.2470329
FRA,2010,0.2624131
FRA,2011,0.274154
FRA,2012,0.2858957
FRA,2013,0.3051404
FRA,2014,0.3096292
FRA,2015,0.2966614
FRA,2016,0.3073233
FRA,2017,0.3073555
FRA,2018,0.3184532
FRA,2019,0.3336636
FRA,2020,0.40986919
DEU,2005,0.1348889
DEU,2008,0.144459
DEU,2010,0.161536
DEU,2011,0.1593914
DEU,2012,0.170022
DEU,2013,0.1719194
DEU,2014,0.1715096
DEU,2015,0.1881391
DEU,2016,0.1881889
DEU,2017,0.184552
DEU,2018,0.1837377
DEU,2019,0.2158647
DEU,2020,0.2087974
ISL,2000,0.0837261
ISL,2005,0.1128157
ISL,2008,0.0914145
ISL,2009,0.0956096
ISL,2010,0.0995114
ISL,2011,0.1010325
ISL,2012,0.0995311
ISL,2013,0.1041217
ISL,2014,0.105128
ISL,2015,0.1023257
ISL,2016,0.1007769
ISL,2017,0.1013846
ISL,2018,0.0990723
ISL,2019,0.0964327
ISL,2020,0.1043138
IRL,1995,0.3736203
IRL,2000,0.2886328
IRL,2005,0.171029
IRL,2008,0.2341911
IRL,2009,0.2453992
IRL,2010,0.2695732
IRL,2011,0.2664473
IRL,2012,0.2249169
IRL,2013,0.2665988
IRL,2014,0.2840311
IRL,2015,0.2970692
IRL,2016,0.2852561
IRL,2017,0.2646712
IRL,2018,0.2414847
IRL,2019,0.2217602
IRL,2020,0.2075083
ITA,1995,0.121766
ITA,2000,0.1835515
ITA,2005,0.2228423
ITA,2008,0.2663939
ITA,2009,0.2953997
ITA,2010,0.3021785
ITA,2011,0.3123318
ITA,2012,0.3106086
ITA,2013,0.3062336
ITA,2014,0.32773
ITA,2015,0.3258611
ITA,2016,0.3199512
ITA,2017,0.3155293
ITA,2018,0.3236515
ITA,2019,0.3310425
ITA,2020,0.36948419
JPN,2005,0.9537196
JPN,2010,0.9650591
JPN,2011,0.9862836
JPN,2012,0.9877929
JPN,2013,0.9843173
JPN,2014,0.9714708
JPN,2015,0.9619399
JPN,2016,0.949002
JPN,2017,0.9375935
JPN,2018,0.9242534
JPN,2019,0.9300372
JPN,2020,0.88836491
KOR,2015,1.093589
KOR,2016,1.024129
KOR,2017,0.9636808
KOR,2018,0.9431347
KOR,2019,0.9361833
KOR,2020,0.88278693
MEX,1995,0.1903918
MEX,2000,0.1773558
MEX,2005,0.3560501
MEX,2008,0.3591644
MEX,2009,0.4364563
MEX,2010,0.4066076
MEX,2011,0.4134643
MEX,2012,0.3954977
MEX,2013,0.4010431
MEX,2014,0.407345
MEX,2015,0.411433
MEX,2016,0.4218473
MEX,2017,0.3604636
MEX,2018,0.6050074
MEX,2019,0.6109983
MEX,2020,0.4131721
NLD,1995,0.32093
NLD,2000,0.3222671
NLD,2005,0.3826039
NLD,2008,0.3988578
NLD,2009,0.443901
NLD,2010,0.4406379
NLD,2011,0.4643128
NLD,2012,0.4779881
NLD,2013,0.4873702
NLD,2014,0.4984067
NLD,2015,0.5002406
NLD,2016,0.4984915
NLD,2017,0.5024751
NLD,2018,0.4837937
NLD,2019,0.4734858
NLD,2020,0.49629021
NZL,2000,0.7379779
NZL,2005,0.8800572
NZL,2008,0.7647282
NZL,2009,0.8062726
NZL,2010,0.8582769
NZL,2011,0.8539413
NZL,2012,0.8540115
NZL,2013,0.8445225
NZL,2014,0.86837
NZL,2015,0.913371
NZL,2016,0.9008038
NZL,2017,0.8762026
NZL,2018,0.7851747
NZL,2019,0.7822203
NZL,2020,0.69349468
NOR,1995,0.1211608
NOR,2000,0.0617006
NOR,2008,0.0483295
NOR,2009,0.0647854
NOR,2010,0.0650013
NOR,2011,0.0661557
NOR,2012,0.0612403
NOR,2013,0.0635415
NOR,2014,0.0622004
NOR,2015,0.0701508
NOR,2016,0.1127209
NOR,2017,0.1374188
NOR,2018,0.121766
NOR,2019,0.1205463
NOR,2020,0.1327083
POL,2005,0.4086095
POL,2008,0.4444718
POL,2009,0.4487486
POL,2010,0.4247623
POL,2011,0.3346861
POL,2012,0.2865454
POL,2013,0.263509
POL,2014,0.2402966
POL,2015,0.2222552
POL,2016,0.2190945
POL,2017,0.2198874
POL,2018,0.2379086
POL,2019,0.2326048
POL,2020,0.23623981
PRT,1995,0.0297281
PRT,2000,0.0711711
PRT,2005,0.3922671
PRT,2008,0.4720397
PRT,2009,0.3599482
PRT,2010,0.4091217
PRT,2011,0.3914374
PRT,2012,0.5652454
PRT,2013,0.5316044
PRT,2014,0.4648385
PRT,2015,0.4071153
PRT,2016,0.3640004
PRT,2017,0.3854102
PRT,2018,0.3633307
PRT,2019,0.3527641
PRT,2020,0.38942909
SVK,1995,0.0331591
SVK,2000,0.0655342
SVK,2005,0.1986323
SVK,2008,0.2244938
SVK,2009,0.2641845
SVK,2010,0.2600782
SVK,2011,0.2173195
SVK,2012,0.2611966
SVK,2013,0.2589089
SVK,2014,0.2398027
SVK,2015,0.3066421
SVK,2016,0.282959
SVK,2017,0.2775213
SVK,2018,0.270121
SVK,2019,0.2572752
SVK,2020,0.25150561
ESP,1995,0.2512612
ESP,2000,0.2855803
ESP,2005,0.2414222
ESP,2008,0.2524094
ESP,2009,0.2691893
ESP,2010,0.287024
ESP,2011,0.2923992
ESP,2012,0.336818
ESP,2013,0.3913643
ESP,2014,0.3950212
ESP,2015,0.4077703
ESP,2016,0.4092851
ESP,2017,0.4028269
ESP,2018,0.4261739
ESP,2019,0.4238814
ESP,2020,0.47272429
SWE,1995,0.092827
SWE,2000,0.1274422
SWE,2005,0.1737582
SWE,2008,0.157081
SWE,2009,0.1619195
SWE,2010,0.147639
SWE,2011,0.1631238
SWE,2012,0.1712326
SWE,2013,0.1674765
SWE,2014,0.1741444
SWE,2015,0.1800118
SWE,2016,0.1868567
SWE,2017,0.1817807
SWE,2018,0.1808502
SWE,2019,0.1860259
SWE,2020,0.1832456
GBR,2011,0.7385711
GBR,2012,0.7322486
GBR,2013,1.160706
GBR,2014,1.252259
GBR,2015,1.355037
GBR,2016,1.28705
GBR,2017,1.386047
GBR,2018,1.435819
GBR,2019,1.450884
GBR,2020,1.4824851
USA,2000,1.209728
USA,2005,1.412248
USA,2008,1.49056
USA,2009,1.577167
USA,2010,1.60555
USA,2011,1.661183
USA,2012,1.708458
USA,2013,1.654711
USA,2014,1.715003
USA,2015,1.659592
USA,2016,1.662049
USA,2017,1.678712
USA,2018,1.629657
USA,2019,1.604035
USA,2020,1.571884
CHL,1995,1.08152
CHL,2000,1.573172
CHL,2005,1.632215
CHL,2008,1.594951
CHL,2009,1.718459
CHL,2010,1.758978
CHL,2011,1.859419
CHL,2012,1.856544
CHL,2013,1.560143
CHL,2014,1.460576
CHL,2015,1.304863
CHL,2016,1.88047
CHL,2017,1.612562
CHL,2018,1.411492
CHL,2019,1.647009
CHL,2020,1.598302
EST,2005,0.3324251
EST,2008,0.2484461
EST,2009,0.2917028
EST,2010,0.3394781
EST,2011,0.2786304
EST,2012,0.2592522
EST,2013,0.2792586
EST,2014,0.3535026
EST,2015,0.4172531
EST,2016,0.1857374
EST,2017,0.2140464
EST,2018,0.2837402
EST,2019,0.2200202
EST,2020,0.24346641
ISR,1995,0.6835266
ISR,2000,0.640936
ISR,2005,0.7215911
ISR,2008,0.6019475
ISR,2009,0.5714255
ISR,2010,0.5344253
ISR,2011,0.8154069
ISR,2012,0.7908315
ISR,2013,0.7848073
ISR,2014,0.7326725
ISR,2015,0.579571
ISR,2016,0.6698958
ISR,2017,0.5628429
ISR,2018,0.690704
