Country,Year,Public Spending on Education (%)
AUS,2000,0.7445396
AUS,2005,0.6893852
AUS,2008,0.6893996
AUS,2009,0.7347594
AUS,2010,0.7784705
AUS,2011,0.7434117
AUS,2013,0.718812
AUS,2014,0.7172999
AUS,2015,0.7692901
AUS,2016,0.7565911
AUS,2017,0.7292825
AUS,2018,0.6566339
AUS,2019,0.6475591
AUS,2020,0.6804412
AUT,2013,1.644516
AUT,2014,1.614541
AUT,2015,1.634081
AUT,2016,1.631474
AUT,2017,1.560725
AUT,2018,1.552325
AUT,2019,1.557053
AUT,2020,1.637095
BEL,2005,1.0897
BEL,2008,1.128475
BEL,2009,1.226435
BEL,2010,1.208465
BEL,2011,1.214926
BEL,2013,1.276725
BEL,2014,1.267146
BEL,2015,1.221587
BEL,2016,1.231372
BEL,2017,1.252936
BEL,2018,1.269149
BEL,2019,1.277785
BEL,2020,1.373827
CAN,2000,1.485331
CAN,2005,1.338613
CAN,2008,1.524971
CAN,2009,1.480583
CAN,2010,1.578337
CAN,2011,1.426457
CAN,2013,1.281192
CAN,2014,1.238263
CAN,2015,1.19926
CAN,2016,1.249911
CAN,2017,1.248397
CAN,2018,1.217149
CAN,2019,1.169387
CAN,2020,1.210443
CZE,1995,0.5865229
CZE,2000,0.6315706
CZE,2005,0.7647003
CZE,2008,0.8404694
CZE,2009,0.9356198
CZE,2010,0.8853807
CZE,2011,1.077835
CZE,2013,0.8519494
CZE,2014,0.7778439
CZE,2015,0.7511527
CZE,2016,0.6845585
CZE,2017,0.681298
CZE,2018,0.9094122
CZE,2019,0.916513
CZE,2020,0.84711123
DNK,1995,1.593177
DNK,2000,1.482842
DNK,2005,1.603695
DNK,2008,1.515695
DNK,2009,1.701416
DNK,2010,1.68758
DNK,2011,1.695767
DNK,2013,1.540204
DNK,2014,1.56226
DNK,2016,1.786348
DNK,2017,1.587298
DNK,2018,1.595249
DNK,2019,1.644351
DNK,2020,1.59243
FIN,1995,1.836061
FIN,2000,1.600166
FIN,2005,1.588786
FIN,2008,1.537551
FIN,2009,1.727368
FIN,2010,1.757051
FIN,2011,1.775771
FIN,2013,1.659276
FIN,2014,1.629648
FIN,2015,1.592316
FIN,2016,1.537382
FIN,2017,1.435572
FIN,2018,1.397002
FIN,2019,1.371959
FIN,2020,1.446365
FRA,2005,1.072538
FRA,2008,1.121222
FRA,2009,1.210475
FRA,2010,1.188449
FRA,2011,1.156935
FRA,2013,1.138958
FRA,2014,1.140018
FRA,2015,1.138366
FRA,2016,1.114654
FRA,2017,1.119547
FRA,2018,1.123677
