Country,Year,GDP per Capita,Population(Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
AUS,1995,22442.32,18.004882,,5.13413,1.4,,187,101.29127,143.23387,70.68857,24.697142
AUS,1996,23289.4,18.224767,,5.231,1.6,,187,101.58029,148.636,75.64778,
AUS,1997,24477.41,18.423037,,,,,187,101.18403,152.93597,80.90665,25.702168
AUS,1998,25708.26,18.607584,,,,,187,100.92862,,,28.139578
AUS,1999,27139.25,18.812264,,,,,187,100.65884,,,28.981586
AUS,2000,28312.86,19.028802,12500.2,4.88731,1.1,,187,100.72193,,,31.372517
AUS,2001,29546.42,19.274701,,,,,187,100.63978,,,33.511932
AUS,2002,30807.51,19.49521,,,,,187,101.54878,,,35.797337
AUS,2003,32391.49,19.720737,,,,,187,101.67431,,,36.322815
AUS,2004,34000.17,19.932722,,,,,187,102.26413,,,36.168247
AUS,2005,35659.13,20.176844,14171.66,4.89852,1.1,,187,102.73932,,,38.098312
AUS,2006,37938.79,20.450966,,4.74065,1.0,,187,103.30405,,,38.804123
AUS,2007,39687.45,20.827622,,4.65622,1.0,29524.3791077434,187,105.18305,,,40.728859
AUS,2008,40130.34,21.249199,15768.22,4.63278,1.0,31051.3231583895,187,105.14112,,,41.99683
AUS,2009,41672.92,21.691653,16589.22,5.08452,1.1,30789.6994280676,187,105.30213,,,44.778488
AUS,2010,42816.43,22.03175,16300.98,5.54304,1.2,32599.9985775794,187,105.61943,,,44.374836
AUS,2011,44440.58,22.340024,16382.44,5.06995,1.2,33941.0874400542,187,105.68968,,,44.615528
AUS,2012,43884.64,22.733465,16002.71,4.86788,1.2,33934.6140312227,187,105.98445,,,47.231079
AUS,2013,47763.22,23.128129,18252.76,5.22924,1.4,36048.4276330054,187,105.99385,,,45.745182
AUS,2014,47606.75,23.475686,19493.58,5.16469,1.4,36816.1292775518,187,105.45709,,,48.13139
AUS,2015,47226.76,23.815995,20304.37,5.31584,1.5,37553.1967013718,187,101.59991,157.16766,118.61086,48.466274
AUS,2016,50136.8,24.190907,16181.19,5.28623,1.4,38951.6063326653,187,100.74441,153.0132,120.96571,49.30521
AUS,2017,50706.49,24.594202,20273.53,5.13681,1.3,38813.7397010069,187,100.33898,150.31148,113.14216,51.989063
AUS,2018,53025.39,24.966643,20675.54,5.12345,,39522.0089713121,187,100.16059,132.77289,107.80805,51.393173
AUS,2019,52785.25,25.340217,20664.38,5.13531,,40000.9749568813,187,99.72715,140.64604,115.95204,52.478458
AUT,1995,23698.1,7.948278,,5.42835,1.2,,84,102.36504,106.58471,44.97695,
AUT,1996,24560.62,7.959016,,5.2599,1.1,,84,102.39691,105.65033,47.49055,
AUT,1997,25426.66,7.968041,,,,,84,102.8261,105.12297,49.56702,
AUT,1998,26675.65,7.976789,,6.10374,1.6,,84,103.63034,97.74473,52.39628,
AUT,1999,27606.48,7.992323,,6.11234,1.6,,84,103.78485,98.4441,,
AUT,2000,29381.67,8.011566,,5.58881,1.4,,84,103.67232,98.69606,,
AUT,2001,29708.49,8.042293,,5.57548,1.3,,84,102.94747,98.9575,,
AUT,2002,31178.05,8.082121,,5.52213,1.2,,84,101.25148,99.02117,,
AUT,2003,32158.46,8.118245,,5.36183,1.3,,84,100.46382,99.4792,,
AUT,2004,33784.45,8.169441,,5.30243,1.4,,84,100.72132,99.52356,,30.473413
AUT,2005,35024.56,8.225278,,5.24937,1.4,,84,100.83262,100.35335,,30.570971
AUT,2006,37662.89,8.267948,,5.22652,1.4,,84,101.55929,100.32996,,31.518833
AUT,2007,39437.04,8.295189,,5.1469,1.4,29403.5290818421,84,101.67125,99.70887,63.04729,31.065872
AUT,2008,41316.02,8.321541,,5.26396,1.4,30475.132374413,84,100.72594,99.42073,65.8869,32.680725
AUT,2009,40927.56,8.341483,,5.73025,1.5,30400.9903274413,84,100.20248,99.64985,68.11265,33.408676
AUT,2010,42019.01,8.361069,,5.70048,1.6,31177.5325711971,84,99.78978,98.80721,75.62378,33.863789
AUT,2011,44469.21,8.388534,,5.59227,1.5,31746.4848535024,84,99.7387,98.06147,78.49945,34.808361
AUT,2012,46477.66,8.426311,16475.7,5.4804,1.8,33296.5271462556,84,100.59906,97.84332,78.93891,36.127834
AUT,2013,47936.68,8.47723,16853.0,5.54711,1.8,33971.8234744652,84,101.21012,99.19738,79.6554,38.666092
AUT,2014,48813.53,8.543932,16867.62,5.44762,1.8,34326.2291407177,84,101.62819,99.66308,79.1587,38.403149
AUT,2015,49942.06,8.629519,17560.62,5.45658,1.8,34413.5343174674,84,101.99748,100.321,80.71942,38.626846
AUT,2016,52665.09,8.739806,18625.0,5.47962,1.8,36227.9556316761,84,102.26436,100.96302,83.45495,39.671021
AUT,2017,54188.36,8.795073,18974.75,5.37159,1.7,36984.3120142911,84,103.11315,100.45521,85.05714,40.324657
AUT,2018,56956.11,8.837707,20416.62,5.22452,,38190.8705617069,84,103.31685,99.95784,86.68835,40.458271
AUT,2019,59716.25,8.877637,21946.23,5.21291,,40065.8552764624,84,103.10493,100.1937,86.47553,41.610401
BEL,1995,22447.05,10.136814,,2.98866,0.6,,142,101.79541,146.5033,53.43437,32.941891
BEL,1996,22743.89,10.156641,,3.04948,0.7,,142,102.01518,146.36201,55.44696,
BEL,1997,23732.79,10.181246,,,,,142,,,,
BEL,1998,24369.5,10.203012,,,,,142,,,,
BEL,1999,25441.89,10.226419,,,,,142,103.82362,141.85725,57.12717,
BEL,2000,27790.61,10.251251,,,,,142,104.83442,144.87628,58.16906,36.020634
BEL,2001,28792.4,10.286571,,,,,142,104.07656,153.80124,58.85634,37.506115
BEL,2002,30281.67,10.332786,,,,,142,103.16723,155.90697,59.38278,37.643967
BEL,2003,30934.82,10.376131,,,,,142,102.36091,158.63028,59.83446,38.910217
BEL,2004,32063.69,10.421136,,,,,142,100.80021,153.40533,61.02287,40.730312
BEL,2005,33176.68,10.47862,12286.28,5.79586,1.3,,142,100.46234,159.89014,61.08548,40.605904
BEL,2006,35256.78,10.547956,,,,,142,100.73419,161.01921,61.65359,41.863441
BEL,2007,36794.81,10.624835,,,,26344.8763605096,142,101.53422,159.51427,61.20013,41.339031
BEL,2008,37883.23,10.709108,14650.29,6.33294,1.3,27855.5616655671,142,102.15756,158.74341,62.08624,42.271435
BEL,2009,37751.63,10.796498,15367.01,6.4581,1.4,27868.5374158565,142,102.12756,156.63837,65.26769,42.484257
BEL,2010,39836.53,10.895591,15448.98,6.44259,1.4,28779.4539984626,142,101.92424,156.86153,67.82901,43.801159
BEL,2011,40943.34,10.993609,15666.21,6.43199,1.4,29401.733558232,142,101.9468,156.63316,69.84253,42.455688
BEL,2012,42290.48,11.067748,16694.87,6.255765,,30451.084634254,142,102.25605,157.79477,71.19202,42.989902
BEL,2013,43672.71,11.125033,17466.72,6.63053,1.4,31616.3791892908,142,103.82197,160.91924,72.11549,42.663147
BEL,2014,44929.93,11.179778,17808.27,6.59047,1.5,32229.0357017547,142,103.64806,162.29935,72.9974,44.239079
BEL,2015,46201.69,11.238474,17469.7,6.45157,1.4,32596.7529692703,142,103.15581,163.93472,74.55976,43.144318
BEL,2016,48599.2,11.295003,18608.13,6.46173,1.4,33824.037119115,142,103.31777,161.03316,75.89064,44.311111
BEL,2017,50442.95,11.349081,19531.09,6.42534,1.5,34777.2243507391,142,103.90557,158.54185,79.66173,45.725086
BEL,2018,52530.84,11.40374,20433.63,6.38137,,35932.8893005777,142,103.3507,155.96107,78.90117,47.397144
BEL,2019,55804.71,11.462023,21688.94,6.33976,,38140.756108611,142,102.61951,156.08061,80.13817,47.282982
CAN,1995,23485.64,29.302311,,6.32445,2.2,,383,101.81008,105.15247,90.5424,40.448719
CAN,1996,24050.18,29.610218,,,,,383,102.81308,105.47692,89.21377,42.239132
CAN,1997,25259.73,29.905948,,,,,383,,,,44.168514
CAN,1998,26319.93,30.155173,,5.49377,1.7,,383,99.82164,105.60397,59.50188,45.555809
CAN,1999,27841.63,30.401286,,5.5308,,,383,100.25747,102.37614,60.25187,46.988796
CAN,2000,29362.29,30.68573,,5.42332,,,383,100.78877,101.92313,59.11446,48.400093
CAN,2001,30231.01,31.020902,,4.95303,,,383,,,,50.856735
CAN,2002,30963.22,31.360079,,4.99308,,,383,,,59.54659,51.629013
CAN,2003,32350.07,31.644028,,,,,383,,,,53.179329
CAN,2004,33925.89,31.940655,,,,,383,98.4768,,,53.197052
CAN,2005,36327.66,32.243753,,4.76588,,,383,97.36457,101.39119,,53.694931
CAN,2006,38120.18,32.571174,,,,,383,98.88063,101.72825,,54.622643
CAN,2007,39575.32,32.889025,,4.76641,1.8,26587.7143310442,383,98.96648,101.90349,63.60006,55.674667
CAN,2008,40376.33,33.247118,,4.62612,1.6,27380.749872019,383,98.01331,102.34444,63.7674,55.619267
CAN,2009,38865.41,33.628895,,4.84058,1.8,27327.3240987425,383,99.0088,102.73444,63.06577,55.780476
CAN,2010,40099.5,34.004889,,5.35637,1.9,28472.1042123442,383,98.6416,102.39848,61.65585,56.169838
CAN,2011,41666.72,34.339328,,5.26205,1.9,29113.9573353463,383,98.18937,103.34896,63.46732,56.40131
CAN,2012,42290.88,34.714222,20902.28,4.6925874,,29745.7205182537,383,99.51828,109.98749,63.98077,57.056797
CAN,2013,44298.51,35.082954,22150.64,4.58901,1.3,30676.6738575626,383,100.34071,109.48599,65.3323,57.603394
CAN,2014,45753.78,35.437435,21330.88,4.84359,1.7,31379.9103324558,383,101.53666,109.3331,65.61291,57.725277
CAN,2015,44670.05,35.702908,21810.46,4.73938,1.6,31939.5398254005,383,102.48508,110.35653,64.78696,59.182831
CAN,2016,46472.37,36.109487,24448.94,4.81642,1.6,33594.3016547497,383,101.02387,112.51428,66.43918,60.582603
CAN,2017,48317.19,36.545236,24517.08,4.95997,1.7,34554.2781197279,383,100.94368,113.76286,68.92251,60.916767
CAN,2018,49992.81,37.065084,24326.04,4.88898,,35338.5167004454,383,101.50109,114.12351,70.11302,61.754246
CAN,2019,49832.41,37.60123,22554.14,4.77293,,34928.1382585596,383,100.98975,114.33327,75.69882,62.965115
CHE,1995,30586.36,7.040687,,4.90877,1.0,,103,96.06028,101.55832,31.3387,21.508133
CHE,1996,31242.61,7.071851,,4.91729,1.0,,103,98.10584,101.11494,32.39654,
CHE,1997,32440.8,7.088906,,,,,103,,,,24.680222
CHE,1998,33543.64,7.110002,,4.7449,1.0,,103,105.41258,95.87938,35.2897,24.964743
CHE,1999,34401.81,7.143991,,4.74922,1.1,,103,105.88007,95.8524,36.99367,25.919964
CHE,2000,36351.77,7.18425,,4.64837,1.1,,103,106.68965,95.62875,37.77896,25.571112
CHE,2001,37514.75,7.226647,,4.81138,1.1,,103,105.61872,95.33287,39.77228,25.608202
CHE,2002,38410.6,7.284754,,5.16422,1.3,,103,104.62748,93.70814,40.94655,26.701601
CHE,2003,38448.71,7.339002,,5.36936,1.5,,103,104.01816,93.78176,44.03967,29.236425
CHE,2004,39884.9,7.389626,,5.29308,1.5,,103,103.3387,94.41706,45.60078,30.414423
CHE,2005,41244.64,7.437116,,5.0574,1.4,,103,102.30718,95.45322,45.80415,31.038237
CHE,2006,45963.06,7.483935,,4.81757,1.3,,103,101.98685,96.02689,46.5378,32.229095
