Country,GDP per Capita,Population (Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
AUS,38143.841199999995,21.221520319999996,17397.198571428573,5.063198333333333,1.2437499999999997,35349.78348591165,187.0,102.61908759999999,147.33963875,100.4652275,40.36792195833333
AUT,39269.2264,8.311854799999999,18464.942499999997,5.4743795833333335,1.5000000000000002,33898.52129011064,84.0,101.832554,100.1660128,70.9264276470588,35.7674319375
BEL,36588.55279999999,10.70956416,17163.086153846154,5.935743666666668,1.2750000000000001,31524.486336326187,142.0,102.6015604347826,155.96554434782612,65.98674173913045,41.72984857142857
CAN,37217.9484,33.08836271999999,22755.057500000003,5.03193637,1.7333333333333336,30849.14839358857,383.0,100.06532,106.5139455,67.08493894736843,53.69653416
CHE,49494.9216,7.67810896,24848.25,4.900873916666667,1.2454545454545454,38082.09475391856,103.0,103.45843708333332,97.63005086956521,48.29867041666666,35.89716458333333
CHL,15891.782400000002,16.58103848,7544.6592,4.04252225,0.7714285714285714,14680.116641485101,130.0,101.93186739130434,93.30442333333333,58.7616175,27.000790000000002
CRI,12656.1856,4.313503278786217,8235.508,5.670795454545455,1.2238095238095241,14398.927904367898,68.0,111.55853333333334,91.47865125,49.80272999999999,23.83813384
CZE,25498.4176,10.397213919999999,10111.913066666666,4.152661666666667,0.8409090909090909,21668.392261678524,64.0,101.57246320000002,96.11075280000001,48.2970532,20.194433125000007
DEU,37336.2512,81.99187871999999,17381.11666666667,4.74316,1.2133333333333336,34478.737746073275,461.0,103.14862040000001,101.34773279999997,61.839059000000006,25.446672291666662
DNK,38765.720400000006,5.49118532,17796.16576923077,7.830206025,2.28,29396.827842812247,81.0,100.77911043478261,124.6729833333333,71.2627075,37.325815086956524
ESP,28947.8592,43.9994652,11902.983466666668,4.342550416666666,0.9545454545454546,24523.314691788244,276.0,104.3714356,117.63919560000001,70.3643624,38.458791874999996
EST,19864.632,1.35343716,10507.637307692308,5.355101666666666,1.1333333333333333,18114.374740978168,31.0,99.43792039999998,103.91636625000001,62.553891199999995,35.144069782608696
FIN,35041.4276,5.30946932,16293.957066666666,6.37424956521739,1.9380952380952383,29992.501949228266,42.0,99.7544044,125.18912440000003,86.85615400000002,39.57933138888889
FRA,33349.87920000001,63.50705240000001,15758.829230769234,5.534027615384614,1.0666666666666667,31355.88511044736,625.0,102.64103519999998,106.03996360000002,56.13892959999999,39.32271933333333
GBR,34269.3192,61.74963852,26825.2675,4.960464333333334,1.019047619047619,29738.08752934656,337.0,102.8326813636364,106.07908916666666,58.1266252,40.87190130434783
GRC,24684.443199999998,10.877738879999999,3966.627299999999,3.7284571999999994,0.9799999999999999,21181.445286449136,66.0,97.3859304347826,98.25131652173913,87.1776390909091,30.239763839999995
