 ,1980,1981,1982,1983,1984,1985,1986,,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,1765.3,..,2100.3,3296.9,..,3298.3,3073.6,,2920.4,3112.1,3653.2,4677.1,4864.9,4865.4,4764.3,4726.0,5210.9,5699.8,..,..,..,4756.7,..,..,..,..,7557.1,7789.5,8947.2,10978.2,10434.2,14170.5,16443.9,17825.8,21389.4,20114.2,20715.9,17110.9,17117.6,..,..,..,..,..
Austria,614.2,544.9,571.7,599.6,627.2,649.3,1078.7,,1320.4,1415.9,1378.3,1678.8,1888.9,2166.3,2051.2,..,2813.8,2626.9,..,3494.6,3476.2,2750.8,2601.2,2659.6,3300.2,4167.7,4525.3,4769.9,5552.2,6159.7,6007.0,6191.3,6474.8,7472.8,7714.7,7829.5,6798.9,7042.1,7142.4,..,..,..,..,..
Belgium,1252.5,1068.8,900.6,..,..,..,1114.8,,1303.9,1362.9,..,..,..,..,2098.5,2708.3,1764.4,1826.8,..,..,..,..,..,..,..,..,4848.7,..,..,6955.1,6971.3,6869.0,7394.7,..,7555.3,7927.2,6597.9,6850.5,7311.0,..,..,..,..,..
Canada,4696.2,5266.0,5864.6,6485.1,6998.5,6738.6,6839.5,,7374.1,8215.7,9807.4,10771.1,11502.4,12707.5,12678.9,13330.7,12895.4,..,..,11155.1,..,..,..,..,..,..,..,..,23148.1,23404.7,27114.1,26057.2,30295.5,..,24238.4,30659.7,29331.3,25121.7,25278.9,..,..,..,..,..
Chile,439.2,616.6,..,..,..,..,..,,130.5,..,..,150.1,..,..,244.4,274.6,332.3,365.0,422.9,450.3,..,427.3,..,399.2,394.3,530.7,560.3,692.7,854.2,988.8,1137.9,2031.1,2223.7,2562.0,3229.8,3044.1,3054.0,3397.6,3791.3,..,..,..,..,..
Colombia,147.4,215.5,..,..,237.0,213.1,..,,..,..,201.0,..,..,..,..,..,..,..,..,757.3,729.9,697.2,723.9,..,..,635.6,808.9,..,..,2103.0,2175.0,3062.0,3082.3,3561.9,3304.5,3661.9,2805.2,2909.5,3181.7,3466.6,..,..,..,..
Costa Rica,105.0,..,47.2,48.5,..,..,84.4,,..,79.3,90.5,..,..,..,..,..,121.4,129.4,..,..,132.9,136.2,147.9,160.7,..,170.9,..,219.4,260.5,314.6,350.8,455.4,535.8,612.1,699.0,753.3,863.4,931.2,1011.3,977.7,969.7,..,..,..
Czechia,..,..,..,..,..,..,..,,..,..,..,..,..,167.9,318.5,339.4,406.7,459.2,..,452.4,456.5,427.1,489.4,650.7,855.3,1028.8,1114.1,1750.3,1866.5,2092.7,1997.2,1900.3,2511.7,2064.7,1839.8,1662.9,1441.4,1373.0,1521.1,..,..,..,..,..
Denmark,731.9,..,..,..,..,..,1202.2,,1453.4,1707.6,1173.3,..,1658.3,..,2895.3,3023.1,3351.6,3512.9,..,3748.7,4091.6,3981.5,4345.1,4691.9,5313.2,6153.3,6132.4,6206.2,7102.5,7477.1,7502.1,7532.2,8144.8,7102.4,7849.1,8269.2,..,..,8081.5,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,,..,..,..,..,..,..,36.4,36.8,46.9,56.1,60.2,59.0,64.2,..,64.0,78.9,100.3,103.0,128.6,..,227.9,265.3,258.2,234.3,291.6,237.0,343.3,376.9,318.3,336.5,305.5,..,..,..,..,..
Finland,546.0,534.7,528.3,500.8,512.0,593.0,748.0,,1014.9,1255.9,1437.9,1917.7,2290.9,2198.2,1885.5,1822.7,2596.9,2567.2,..,..,2685.3,2442.4,2489.9,2730.4,3383.6,3908.5,3925.3,4070.1,4554.3,5143.5,5178.2,5161.8,5680.8,5274.1,5419.4,5441.9,4401.1,4375.5,4222.7,..,..,..,..,..
France,4061.6,4004.4,3843.0,3627.8,3519.6,3781.4,5205.4,,6134.4,6657.5,6783.6,8754.9,9323.2,10518.3,12187.3,13152.2,16364.8,16776.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31827.9,..,..,..,..,..
Germany,..,..,..,..,..,..,..,,..,..,..,..,..,..,20161.3,21233.3,26405.0,26210.2,..,23229.3,..,..,..,..,..,..,..,32359.8,37893.4,44099.7,44108.5,45607.1,50816.9,46828.4,49042.9,51008.9,42162.5,43604.2,45883.6,..,..,..,..,..
Greece,..,209.6,212.1,155.1,211.4,..,247.4,,285.4,342.3,396.9,485.4,486.5,..,..,..,..,..,..,1294.1,1256.4,1010.2,1398.9,1708.0,2141.9,3055.7,3545.3,..,..,..,..,..,..,..,..,..,1422.1,..,1262.3,..,..,..,..,..
Hungary,194.4,203.3,206.0,222.6,242.6,175.9,214.7,,230.3,191.8,230.2,285.1,293.8,408.4,415.6,467.2,420.4,334.4,..,420.0,448.9,483.2,559.2,740.6,1022.1,1037.6,1137.8,1171.7,1419.0,1573.9,1430.0,1255.7,1515.2,1018.6,1212.7,1067.5,806.5,954.4,1133.7,..,..,..,..,..
Iceland,..,..,..,..,..,..,..,,..,..,..,37.7,..,..,71.5,60.6,65.4,63.6,..,..,104.1,105.0,98.6,122.9,153.9,183.6,236.6,225.9,283.9,250.6,192.9,205.0,200.7,216.9,232.6,256.7,246.8,307.8,336.8,..,..,..,..,..
Ireland,226.9,231.3,217.5,203.2,176.9,197.1,281.0,,367.6,368.2,362.2,490.3,509.1,624.3,602.4,680.5,783.9,891.2,..,985.3,1109.3,1250.5,1275.5,1451.9,1717.1,2040.6,2230.2,2526.2,2970.1,3482.8,3442.9,2980.6,3022.7,2775.3,2737.4,2630.3,2557.6,2189.0,3266.4,..,..,..,..,..
