 ,1980,1981,1982,1983,1984,1985,,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,10194.3,11833.7,12766.5,11518.7,12431.9,11437.7,,11364.2,11624.5,14254.6,17798.3,18211.3,18821.5,18569.8,17634.3,18046.0,20319.6,21861.3,23468.6,21319.0,20533.0,21679.2,19490.9,20082.5,23447.0,30430.7,33999.2,36044.9,40960.1,49601.7,42772.4,52022.1,62517.8,68012.1,68150.1,62510.8,56755.7,49971.1,54066.5,57373.7,..,..,..,..
Austria,10869.5,9385.2,9410.3,9537.4,8991.1,9172.1,,13083.1,16392.8,17578.6,17468.9,21681.0,22410.9,24880.2,24081.5,25646.7,30325.8,29809.1,26705.5,27361.9,27174.3,24564.5,24537.5,26401.7,32222.9,36821.5,38403.1,40635.3,46855.8,51708.8,47963.2,46858.0,51375.0,48567.7,50716.7,51717.5,44178.0,45237.8,47431.6,51462.0,..,..,..,..
Belgium,12864.0,10622.8,9343.9,8846.2,8457.3,8750.8,,12170.0,15135.9,16391.1,16525.1,20600.4,21041.7,23372.6,22283.9,24208.6,28413.8,27489.6,24820.9,25338.4,25244.3,23041.5,22995.2,24887.6,30587.7,35364.4,36796.0,38672.7,44262.9,48106.9,44583.5,44141.9,47348.5,44673.1,46744.7,47700.5,40991.8,42012.1,44219.6,47518.6,..,..,..,..
Canada,11170.6,12337.5,12481.9,13425.1,13877.9,14114.8,,14461.1,16309.0,18937.0,20715.6,21448.4,21768.3,20879.8,20121.2,19935.4,20613.8,21227.3,21829.2,20952.1,22238.7,24190.2,23738.2,24169.3,28200.7,32034.3,36266.2,40385.9,44543.0,46594.5,40773.1,47450.3,52101.8,52542.3,52504.7,50835.5,43495.1,42279.9,45069.9,46233.0,..,..,..,..
Chile,2542.8,2979.6,2156.5,1709.4,1624.6,1444.3,,1517.9,1760.3,2026.8,2288.6,2494.5,2803.6,3350.2,3535.2,4024.2,5107.3,5349.8,5745.4,5446.6,4957.8,5074.9,4574.6,4446.3,4772.6,6194.9,7598.5,9464.6,10502.4,10751.5,10208.9,12808.0,14637.2,15351.6,15842.9,14671.0,13574.2,13748.1,15037.4,15923.4,..,..,..,..
Colombia,1241.6,1323.4,1386.7,1348.8,1304.2,1165.0,,1142.9,1166.0,1232.2,1218.2,1445.3,1456.7,1697.1,1893.5,2284.8,2539.9,2620.5,2827.4,2566.0,2209.9,2520.5,2439.7,2396.6,2281.4,2782.6,3404.2,3731.2,4703.2,5461.8,5195.4,6326.5,7324.4,8042.5,8212.7,8114.1,6175.9,5871.2,6375.9,6667.8,..,..,..,..
Costa Rica,2021.5,1068.5,1033.0,1213.6,1373.9,1432.1,,1572.5,1571.3,1558.5,1727.9,1831.0,2238.9,2595.0,2828.1,3016.2,3247.3,3198.5,3375.2,3579.9,3653.6,3772.9,3944.7,4024.7,4129.6,4385.4,4654.8,5201.5,6071.8,6859.1,6760.5,8141.9,9121.9,9913.2,10490.1,10547.2,11299.1,11666.5,11752.5,12027.4,..,..,..,..
Czechia,..,..,..,..,..,..,,..,..,..,..,3917.2,2878.7,3352.0,3931.7,4602.0,5788.2,6493.9,5996.8,6458.9,6307.7,6011.6,6609.2,8032.9,9773.1,11685.9,13346.2,15183.6,18373.6,22698.9,19741.6,19808.1,21717.5,19729.9,19916.0,19744.6,17715.6,18463.4,20379.9,23078.6,..,..,..,..
Denmark,13883.9,12081.8,11804.4,11857.9,11562.9,12253.1,,17201.1,21340.7,22527.0,21901.1,26891.4,27011.4,29569.7,27598.0,29995.6,35351.4,35650.7,32835.9,33368.1,33440.8,30743.5,30751.7,33228.7,40458.8,46511.6,48799.8,52027.0,58487.1,64322.1,58163.3,58041.4,61753.6,58507.5,61191.2,62549.0,53254.9,54664.0,57141.1,61350.3,..,..,..,..
Estonia,..,..,..,..,..,..,,..,..,..,..,..,..,..,2681.8,2814.8,3130.8,3376.8,3678.2,4087.5,4144.6,4076.0,4509.2,5344.9,7206.2,8913.0,10406.4,12631.6,16741.9,18227.1,14795.0,14784.4,17624.0,17534.4,19174.1,20367.1,17522.2,18237.3,20337.8,23266.3,..,..,..,..
Finland,11223.9,10926.8,10938.1,10497.5,10833.9,11398.1,,14951.0,18571.1,22047.8,23973.2,28364.6,25484.7,22319.1,17608.8,20301.3,26271.6,25783.5,24691.9,26009.3,26177.3,24285.5,24946.2,26869.7,32855.1,37702.8,39040.3,41188.1,48414.8,53554.0,47294.0,46460.0,51082.0,47710.8,49878.0,50260.3,42811.2,43777.4,46191.9,50152.3,..,..,..,..
France,12713.4,11105.0,10496.9,9993.4,9419.7,9763.3,,13540.2,16302.4,17680.0,17694.3,21793.8,21675.1,23813.7,22380.1,23496.5,26890.2,26871.8,24228.9,24974.3,24673.2,22364.0,22433.6,24177.3,29568.4,33741.3,34760.2,36443.6,41508.4,45334.1,41575.4,40638.3,43790.7,40874.7,42592.9,43008.6,36613.4,36962.2,38679.1,41463.6,..,..,..,..
