 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,5.7,..,5.5,5.4,..,5.4,5.3,5.1,4.9,4.7,,4.7,4.8,4.7,5.5,5.3,5.1,5.2,..,..,..,4.9,..,..,..,..,4.9,4.8,4.7,4.6,5.1,5.6,5.1,4.9,5.2,5.2,5.3,5.3,5.1,..,..,..,..,..
Austria,5.0,5.4,5.4,5.3,5.3,5.3,5.5,5.4,5.2,5.0,,5.0,5.1,5.3,5.3,..,5.4,5.3,..,6.1,6.1,5.6,5.6,5.5,5.4,5.3,5.2,5.2,5.1,5.3,5.7,5.7,5.6,5.5,5.5,5.4,5.5,5.5,5.4,..,..,..,..,..
Belgium,5.3,5.4,5.3,..,..,..,4.9,4.6,4.3,..,,..,..,..,5.4,5.4,3.0,3.0,..,..,..,..,..,..,..,..,5.8,..,..,6.3,6.5,6.4,6.4,..,6.6,6.6,6.5,6.5,6.4,..,..,..,..,..
Canada,6.5,6.4,6.5,6.9,6.6,6.2,6.0,6.3,6.2,6.1,,6.0,6.9,6.8,7.7,6.7,6.3,..,..,5.5,5.5,5.4,5.0,5.0,..,..,4.8,..,4.8,4.6,4.9,5.4,5.3,..,..,..,..,..,..,..,..,..,..,..
Chile,4.2,4.9,..,..,..,..,..,2.8,..,..,,2.3,..,..,2.4,2.5,2.6,2.8,3.0,3.3,3.7,3.8,..,4.1,4.0,3.5,3.3,3.0,3.2,3.8,4.2,4.2,4.0,..,4.5,4.7,4.9,5.3,5.4,..,..,..,..,..
Colombia,1.7,2.6,..,..,3.0,2.7,..,..,..,2.7,,..,..,..,..,..,..,..,..,3.9,4.4,3.5,3.7,4.3,4.3,4.1,4.0,3.9,4.1,3.9,4.8,4.8,4.5,4.4,4.9,4.6,4.5,4.5,4.5,4.5,..,..,..,..
Costa Rica,7.3,..,4.9,5.0,..,..,4.4,..,4.0,4.1,,..,..,..,..,..,3.4,3.9,..,..,5.4,4.7,4.9,5.2,5.2,4.9,..,4.6,4.7,4.9,6.0,6.6,6.5,6.7,6.8,6.9,7.1,7.1,7.3,7.0,7.0,..,..,..
Czechia,..,..,..,..,..,..,..,..,..,..,,..,..,3.8,4.2,4.7,4.5,4.3,..,3.6,3.7,3.7,3.7,4.0,4.1,4.0,3.9,4.2,3.9,3.7,4.2,4.1,4.3,4.3,4.1,4.0,5.8,5.6,3.9,..,..,..,..,..
Denmark,5.9,..,..,..,..,..,5.8,6.1,6.3,5.8,,..,5.6,..,7.8,7.5,7.5,7.9,..,8.1,7.9,8.1,8.2,8.2,8.1,8.2,8.1,7.7,7.6,7.5,8.4,8.6,8.5,7.2,8.5,7.6,..,..,7.8,..,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,5.7,5.5,5.9,6.1,6.3,6.2,6.6,5.3,5.2,5.4,5.3,4.9,4.8,..,4.6,5.5,5.9,5.5,5.0,4.7,4.8,5.4,5.1,5.2,5.0,..,..,..,..,..
Finland,4.8,4.8,4.8,4.9,4.7,5.0,5.1,5.2,5.1,5.1,,5.3,6.3,6.5,7.5,6.9,6.8,6.9,..,..,5.9,5.7,5.8,6.0,6.2,6.2,6.0,5.9,5.7,5.8,6.5,6.5,6.4,7.1,7.1,7.1,7.0,6.9,6.4,..,..,..,..,..
France,4.3,4.7,4.9,4.9,4.9,4.9,4.7,4.6,4.5,4.5,,4.5,4.8,4.7,5.4,5.6,5.8,5.8,..,5.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.5,..,..,..,..,..
Germany,..,..,..,..,..,..,..,..,..,..,,..,..,..,4.4,4.3,4.4,4.5,..,4.5,..,..,..,..,..,..,..,4.3,4.4,4.4,4.9,4.9,4.8,5.0,5.0,4.9,4.8,4.8,4.9,..,..,..,..,..
Greece,..,1.7,1.7,1.7,1.8,..,1.8,1.8,1.9,2.0,,2.0,1.9,..,..,..,..,..,..,2.9,3.0,3.2,3.4,3.4,3.4,3.7,4.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Hungary,..,..,..,..,..,..,..,..,..,..,,..,5.9,6.1,5.9,5.8,4.8,4.3,..,4.4,4.6,4.9,4.9,5.2,5.8,5.3,5.3,5.3,5.1,5.0,5.0,4.8,4.6,4.2,4.2,4.6,4.5,4.7,4.7,..,..,..,..,..
Iceland,..,..,..,..,..,..,..,..,..,..,,4.3,..,..,5.1,4.7,4.8,5.2,..,6.8,6.4,6.4,6.7,7.3,7.3,7.2,7.4,7.3,7.0,7.1,7.2,7.0,6.8,7.6,7.5,7.7,7.5,7.5,7.7,..,..,..,..,..
Ireland,5.3,5.7,5.4,5.4,5.3,5.2,5.3,5.5,5.0,4.7,,4.6,4.8,5.0,5.1,5.2,4.9,4.7,..,4.3,4.1,4.1,4.1,4.1,4.2,4.5,4.5,4.5,4.7,5.4,6.1,6.0,5.9,5.8,5.3,4.9,3.8,3.7,3.5,..,..,..,..,..
Israel,7.1,7.1,6.7,7.0,7.0,8.0,6.1,5.5,4.5,5.7,,5.4,5.4,5.6,6.0,6.4,..,..,..,6.7,6.4,6.1,6.4,6.5,6.3,5.9,5.8,5.8,5.5,5.5,5.5,5.5,5.6,5.7,5.9,5.8,5.9,5.9,6.1,..,..,..,..,..
