"COUNTRY","Country","SEX","Gender","REF_SECTOR","Reference sector","EDUCATION_LEV","Education level","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",131361,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",143415,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",71826,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",62423,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",42580,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",106244,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",112842,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2020","2020",119114,,
"AUS","Australia","_T","Total","INST_T","All public and private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2021","2021",104818,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",86158,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",94735,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",24853,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",18539,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",10389,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",11369,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",35047,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2020","2020",32232,,
"AUS","Australia","_T","Total","INST_PUB","Public educational institutions","ISCED11_4","Post-secondary non-tertiary education","2021","2021",28201,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2013","2013",45203,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2014","2014",48680,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2015","2015",46973,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2016","2016",43884,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2017","2017",32191,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2018","2018",94875,,
"AUS","Australia","_T","Total","INST_PRIV","All private educational institutions","ISCED11_4","Post-secondary non-tertiary education","2019","2019",77795,,
