 ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.7,17.6,15.5,22.0,..,..,..,..
Austria,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.9,15.4,15.9,15.6,15.8,16.3,15.8,16.5,17.1,17.7,18.5,20.0,..,..,..,..
Belgium,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.4,55.0,55.4,55.8,56.5,57.0,..,..,..,57.6,57.1,56.6,57.0,61.9,57.4,..,..,..,..
Canada,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,71.1,..,72.4,..,72.5,74.2,75.3,..,76.1,76.6,78.0,79.7,81.9,83.7,84.4,84.4,84.5,84.6,84.6,84.4,84.0,..,..,..,..
Colombia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,66.5,64.0,62.3,58.2,..,55.0,50.0,48.7,44.9,44.7,43.8,44.6,45.2,46.6,47.6,48.6,49.1,50.1,49.2,49.7,..,..,..,..
Costa Rica,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.8,52.6,51.4,51.9,51.1,50.5,50.9,49.2,48.0,..,..,..
Czechia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,4.3,4.6,..,7.0,7.5,8.9,..,12.1,13.5,14.4,15.2,15.3,14.1,13.3,12.3,11.9,10.6,10.7,10.9,..,..,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,0.1,0.2,0.2,0.5,0.6,1.1,1.1,1.9,2.2,1.8,1.7,1.8,2.1,2.2,2.1,2.3,2.3,2.0,1.0,1.0,..,..,..,..
Estonia,..,..,..,..,..,..,..,..,..,..,,..,..,..,..,..,..,..,..,..,..,..,83.4,83.2,82.8,82.3,82.2,83.6,83.8,84.2,84.2,83.8,83.2,82.6,83.8,83.8,85.5,85.7,85.7,7.9,..,..,..,..
