 ,1980,1981,1982,1983,1984,,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,323716.0,334030.0,337953.0,349243.0,358498.0,,370048.0,390706.0,393734.0,420845.0,441076.0,485075.0,534530.0,559365.0,922699.0,932969.0,964998.0,1002476.0,1041648.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1903454.0,1918625.0,1774852.0,1677242.0,..,..,..,..
Austria,127746.0,136774.0,140720.0,146351.0,154126.0,,165313.0,173215.0,179909.0,188192.0,192700.0,199845.0,205767.0,216529.0,221389.0,227444.0,233989.0,238981.0,240632.0,247498.0,..,..,..,..,..,..,..,..,321504.0,334378.0,345812.0,385499.0,400158.0,413482.0,422778.2,421224.8,425971.7,431125.0,430370.4,430195.3,..,..,..,..
Belgium,198745.0,196153.0,213281.0,219591.0,226890.0,,245762.0,247499.0,252236.0,254329.0,260608.0,271007.0,276248.0,..,307130.0,322364.0,352630.0,358214.0,..,..,351788.0,355748.0,359265.0,366982.0,374532.0,386110.0,389547.0,394427.0,393687.0,401652.0,425219.0,445309.0,462419.0,477712.0,488488.0,495910.0,504745.0,508270.0,526760.0,515530.0,..,..,..,..
Canada,..,..,..,..,..,,..,1639410.0,..,..,1727260.0,1840837.0,1916801.0,1942814.0,1746919.0,1776792.0,1783716.0,1763105.0,..,1192570.0,1220651.0,1212161.0,..,1254833.0,..,..,..,..,1422790.0,1445149.0,1447618.0,1430169.0,1482243.0,1505424.0,1555449.0,1577766.0,1564125.0,1593383.0,1625578.0,1622693.0,..,..,..,..
Chile,145497.0,..,158117.0,178332.0,188665.0,,197437.0,214273.0,224338.0,234973.0,..,..,261800.0,297122.0,324594.0,334808.0,342788.0,367094.0,380603.0,406553.0,450952.0,452177.0,..,521609.0,567114.0,580815.0,663694.0,661142.0,753398.0,804981.0,876243.0,987643.0,1061527.0,1118773.0,1174011.0,1205182.0,1221774.0,1236701.0,1238992.0,1254839.0,..,..,..,..
Colombia,271630.0,318293.0,335833.0,356000.0,378586.0,,391490.0,417654.0,434623.0,457834.0,474787.0,487448.0,510649.0,535320.0,547468.0,576540.0,588322.0,644188.0,772291.0,879840.0,877944.0,934085.0,977243.0,989745.0,..,1112574.0,1223594.0,1314972.0,1372674.0,1487186.0,1570447.0,1674420.0,1849466.0,1958429.0,2109224.0,2220652.0,2293550.0,2394434.0,2446314.0,2408041.0,..,..,..,..
Costa Rica,55593.0,58961.0,58974.0,58927.0,60288.0,,63771.0,66550.0,71585.0,70907.0,74682.0,74681.0,80442.0,88324.0,..,..,..,..,..,..,..,..,..,..,..,108765.0,..,..,..,..,..,..,194933.0,203175.0,205247.0,216751.0,217841.0,217550.0,222707.0,216700.0,221811.0,..,..,..
Czechia,114477.0,118026.0,118881.0,117284.0,112497.0,,109329.0,107098.0,108734.0,109570.0,110619.0,113417.0,118194.0,112654.0,116560.0,163394.0,178853.0,191604.0,207221.0,215041.0,231224.0,253695.0,260044.0,284485.0,287001.0,318858.0,336307.0,338009.0,363277.0,392540.0,416847.0,437354.0,446158.0,440230.0,427441.0,418624.0,395529.0,371948.0,352873.0,329036.0,..,..,..,..
Denmark,106579.0,106241.0,106669.0,110731.0,113157.0,,114559.0,116319.0,118641.0,122256.0,126662.0,134731.0,142968.0,150159.0,164356.0,169619.0,169783.0,174975.0,..,183274.0,189970.0,189162.0,192022.0,196204.0,201746.0,217130.0,232255.0,228893.0,232194.0,230707.0,234574.0,240536.0,258932.0,275009.0,291147.0,301399.0,313756.0,314822.0,312379.0,310903.0,..,..,..,..
Estonia,..,25500.0,..,..,..,,..,23500.0,..,23400.0,24300.0,26300.0,25900.0,25805.0,24464.0,24768.0,25483.0,39726.0,43468.0,46513.0,48684.0,53613.0,57778.0,60648.0,63625.0,65659.0,67760.0,68286.0,68767.0,68168.0,68399.0,68985.0,69113.0,67607.0,64806.0,59998.0,55214.0,51092.0,47794.0,45773.4,..,..,..,..
Finland,122843.0,123165.0,124831.0,127657.0,120153.0,,121182.0,127976.0,133933.0,139375.0,146857.0,155313.0,165714.0,173702.0,188162.0,197367.0,205039.0,213995.0,226458.0,250047.0,262890.0,270185.0,279628.0,283805.0,291664.0,299888.0,305996.0,308966.0,309163.0,309648.0,296691.0,303554.0,308336.0,308924.0,309009.0,306080.0,302478.0,297163.0,295528.0,294516.0,..,..,..,..
France,1060412.0,1076717.0,1150055.0,1179268.0,..,,1255538.0,1278581.0,1289942.0,1327771.0,1477084.0,1587202.0,1698938.0,1840307.0,1951994.0,2083232.0,2072552.0,2091688.0,2062495.0,2027422.0,2012193.0,2015344.0,2031743.0,2029179.0,2119149.0,2160300.0,2187383.0,2201201.0,2179505.0,2164538.0,2172855.0,2245097.0,2259448.0,2296306.0,2338135.0,2388880.0,2424158.0,2480186.0,2532831.0,2618729.0,..,..,..,..
Germany,..,..,..,..,..,,..,..,..,..,..,..,2048627.0,2033702.0,2112642.0,2132162.0,2155728.0,2144169.0,2131907.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2780012.9,2912203.4,2977781.0,3043084.0,3091694.0,3127927.0,..,..,..,..
