"DEMO_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1980","1980",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1981","1981",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1982","1982",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1983","1983",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1984","1984",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1985","1985",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1986","1986",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1987","1987",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1988","1988",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1989","1989",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1990","1990",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1991","1991",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1992","1992",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1993","1993",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1994","1994",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1995","1995",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1996","1996",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1997","1997",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1998","1998",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","1999","1999",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2000","2000",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2001","2001",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2002","2002",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2003","2003",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2004","2004",16,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2005","2005",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2006","2006",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2007","2007",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2008","2008",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2009","2009",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2010","2010",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2011","2011",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2012","2012",15,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2013","2013",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2014","2014",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2015","2015",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2016","2016",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2017","2017",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2018","2018",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2019","2019",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2020","2020",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2021","2021",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUS","Australia","2022","2022",14,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1980","1980",35,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1981","1981",35,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1982","1982",35,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1983","1983",35,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1984","1984",35,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1985","1985",36,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1986","1986",36,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1987","1987",36,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1988","1988",37,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1989","1989",37,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1990","1990",37,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1991","1991",37,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1992","1992",38,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1993","1993",38,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1994","1994",38,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1995","1995",38,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1996","1996",39,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1997","1997",39,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1998","1998",39,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","1999","1999",40,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2000","2000",40,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2001","2001",40,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2002","2002",40,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2003","2003",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2004","2004",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2005","2005",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2006","2006",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2007","2007",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2008","2008",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2009","2009",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2010","2010",43,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2011","2011",43,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2012","2012",43,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2013","2013",43,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2014","2014",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2015","2015",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2016","2016",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2017","2017",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2018","2018",42,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2019","2019",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2020","2020",41,,
"SP_RUR_TOTL_ZS","Rural population (% of total population)","AUT","Austria","2021","2021",41,,
