Country,Year,GDP per Capita,Population(Million),Average Spending on Higher Education (USD/student),Government Expenditure On Education (%),Government Spending Teritary (% Gov Spending),Household Income per Capita,Number of Universities,Primary Enrollment rate (% gross),Secondary Enrollment rate (% gross),Tertiary Enrollment rate (% gross),Population with Tertiary Education (%)
AUS,2015,47226.76,23.815995,20304.37,5.31584,1.5,37553.1967013718,187,101.59991,157.16766,118.61086,48.466274
AUS,2016,50136.8,24.190907,16181.19,5.28623,1.4,38951.6063326653,187,100.74441,153.0132,120.96571,49.30521
AUS,2017,50706.49,24.594202,20273.53,5.13681,1.3,38813.7397010069,187,100.33898,150.31148,113.14216,51.989063
AUT,2012,46477.66,8.426311,16475.7,5.4804,1.8,33296.5271462556,84,100.59906,97.84332,78.93891,36.127834
AUT,2013,47936.68,8.47723,16853.0,5.54711,1.8,33971.8234744652,84,101.21012,99.19738,79.6554,38.666092
AUT,2014,48813.53,8.543932,16867.62,5.44762,1.8,34326.2291407177,84,101.62819,99.66308,79.1587,38.403149
AUT,2015,49942.06,8.629519,17560.62,5.45658,1.8,34413.5343174674,84,101.99748,100.321,80.71942,38.626846
AUT,2016,52665.09,8.739806,18625.0,5.47962,1.8,36227.9556316761,84,102.26436,100.96302,83.45495,39.671021
AUT,2017,54188.36,8.795073,18974.75,5.37159,1.7,36984.3120142911,84,103.11315,100.45521,85.05714,40.324657
BEL,2008,37883.23,10.709108,14650.29,6.33294,1.3,27855.5616655671,142,102.15756,158.74341,62.08624,42.271435
BEL,2009,37751.63,10.796498,15367.01,6.4581,1.4,27868.5374158565,142,102.12756,156.63837,65.26769,42.484257
BEL,2010,39836.53,10.895591,15448.98,6.44259,1.4,28779.4539984626,142,101.92424,156.86153,67.82901,43.801159
BEL,2011,40943.34,10.993609,15666.21,6.43199,1.4,29401.733558232,142,101.9468,156.63316,69.84253,42.455688
BEL,2013,43672.71,11.125033,17466.72,6.63053,1.4,31616.3791892908,142,103.82197,160.91924,72.11549,42.663147
BEL,2014,44929.93,11.179778,17808.27,6.59047,1.5,32229.0357017547,142,103.64806,162.29935,72.9974,44.239079
BEL,2015,46201.69,11.238474,17469.7,6.45157,1.4,32596.7529692703,142,103.15581,163.93472,74.55976,43.144318
BEL,2016,48599.2,11.295003,18608.13,6.46173,1.4,33824.037119115,142,103.31777,161.03316,75.89064,44.311111
BEL,2017,50442.95,11.349081,19531.09,6.42534,1.5,34777.2243507391,142,103.90557,158.54185,79.66173,45.725086
CAN,2013,44298.51,35.082954,22150.64,4.58901,1.3,30676.6738575626,383,100.34071,109.48599,65.3323,57.603394
CAN,2014,45753.78,35.437435,21330.88,4.84359,1.7,31379.9103324558,383,101.53666,109.3331,65.61291,57.725277
CAN,2015,44670.05,35.702908,21810.46,4.73938,1.6,31939.5398254005,383,102.48508,110.35653,64.78696,59.182831
CAN,2016,46472.37,36.109487,24448.94,4.81642,1.6,33594.3016547497,383,101.02387,112.51428,66.43918,60.582603
CAN,2017,48317.19,36.545236,24517.08,4.95997,1.7,34554.2781197279,383,100.94368,113.76286,68.92251,60.916767
CHE,2012,59440.93,7.996861,24848.25,4.85835,1.3,37098.346737892,103,103.15372,96.48052,55.52047,39.260506
CHL,2009,16028.55,16.881078,6233.566,4.23065,0.7,11106.2665453651,130,106.50496,88.97956,60.9115,21.646658
CHL,2011,20235.57,17.254159,7851.805,4.04519,0.9,13349.6207468583,130,103.40725,90.46908,72.27679,22.483852
CHL,2013,22295.74,17.611902,7973.535,4.52943,1.2,15937.1450363971,130,101.45874,99.59392,79.95629,27.27248
CHL,2015,22563.58,17.971423,6731.183,4.87531,1.3,15766.6425539399,130,100.68484,101.78093,85.26672,29.874573
CHL,2017,24479.46,18.419192,9433.091,5.41966,1.4,16874.5754201648,130,101.43016,101.83142,88.46442,33.726387
CRI,2013,15542.37,4.71316814141015,8235.508,6.6874,1.4,12262.593207226,68,112.32019,114.39269,49.00672,28.275383
CZE,2008,27853.55,10.429692,8179.323,3.72719,0.9,17934.5260469879,64,105.73485,94.14958,58.06951,17.674837
