"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2013",89.698,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2014",91.439,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2015",97.712,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2016",97.517,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2017",96.935,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2018",89.49,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2019",93.571,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2020",93.65,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2013",88.599,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2014",89.16,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2015",89.204,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2016",86.831,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2017",86.632,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2018",87.348,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2019",87.949,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2020",88.231,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2013",98.596,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2014",97.374,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2015",96.959,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2016",96.971,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2017",98.644,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2018",98.585,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2019",98.332,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2020",98.438,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2013",80.07,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2014",80.088,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2015",81.491,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2016",83.508,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2017",82.563,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2018",82.187,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2019",77.564,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2020",77.163,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2013",95.564,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2014",95.664,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2015",95.603,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2016",95.524,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2017",95.091,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2018",95.173,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2019",94.033,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2020",94.233,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2013",90.923,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2014",90.845,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2015",90.792,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2016",90.685,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2017",90.852,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2018",90.961,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2019",91.626,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2020",92.369,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2013",94.775,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2014",94.596,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2015",95.706,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2016",96.096,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2017",95.059,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2018",96.052,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2019",96.703,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2020",98.049,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2013",90.575,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2014",90.597,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2015",91.571,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2016",91.643,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2017",93.13,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2018",92.533,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2019",93.805,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2020",96.573,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2013",93.94,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2014",94.129,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2015",93.282,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2016",91.997,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2017",92.793,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2018",91.916,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2019",92.495,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2020",92.27,
