Country,Year,Early Childhood Education Enrollment Rates,Higher Education Enrollment Rates
AUS,2013,61.742,89.698
AUS,2014,68.133,91.439
AUS,2015,68.588,97.712
AUS,2016,63.574,97.517
AUS,2017,65.912,96.935
AUS,2018,65.556,89.49
AUS,2019,67.002,93.571
AUS,2020,65.44,93.65
AUT,2014,72.884,89.16
AUT,2016,75.783,86.831
AUT,2017,76.462,86.632
AUT,2018,77.28,87.348
AUT,2019,77.815,87.949
AUT,2020,77.851,88.231
BEL,2017,98.616,98.644
BEL,2019,97.867,98.332
CHE,2014,3.117,91.43
CHE,2015,2.78,91.736
CHE,2016,2.492,91.284
CHE,2017,2.409,91.223
CHE,2018,2.462,91.032
CHE,2019,2.368,91.31
CHE,2020,2.332,91.668
CHL,2013,50.526,88.377
CHL,2014,53.606,90.522
CHL,2015,55.093,89.987
CHL,2016,56.048,91.755
CHL,2017,57.832,90.768
CHL,2018,58.221,93.705
CHL,2019,57.457,92.419
CHL,2020,54.967,93.509
COL,2016,56.508,54.902
COL,2017,60.676,57.679
COL,2018,60.04,56.76
COL,2019,56.9,55.509
COL,2020,59.022,56.047
CRI,2020,5.634,63.753
CZE,2013,58.931,95.564
CZE,2014,68.397,95.664
CZE,2015,77.258,95.603
CZE,2016,78.005,95.524
CZE,2017,79.099,95.091
CZE,2018,77.408,95.173
CZE,2019,77.633,94.033
CZE,2020,76.966,94.233
DEU,2014,92.549,94.129
DEU,2015,93.32,93.282
DEU,2016,91.501,91.997
DEU,2018,90.843,91.916
DEU,2020,90.019,92.27
DNK,2013,96.347,90.923
DNK,2014,96.281,90.845
DNK,2015,96.956,90.792
DNK,2016,96.585,90.685
DNK,2017,96.464,90.852
DNK,2018,98.312,90.961
DNK,2019,96.504,91.626
DNK,2020,96.432,92.369
ESP,2013,95.76,91.764
ESP,2014,95.865,90.09
ESP,2015,94.917,89.979
ESP,2016,96.236,89.613
ESP,2018,96.546,90.198
ESP,2020,96.194,90.026
EST,2013,87.383,94.906
EST,2014,85.982,95.316
EST,2016,87.216,94.029
EST,2018,87.835,93.661
EST,2020,87.909,93.567
FIN,2013,68.175,94.775
FIN,2014,68.219,94.596
FIN,2015,68.373,95.706
FIN,2016,72.974,96.096
FIN,2018,77.405,96.052
FIN,2020,84.505,98.049
FRA,2014,98.714,90.597
FRA,2015,99.557,91.571
FRA,2016,99.548,91.643
FRA,2017,99.862,93.13
FRA,2018,100.0,92.533
FRA,2019,100.0,93.805
FRA,2020,100.0,96.573
GBR,2013,96.779,90.307
GBR,2014,83.292,90.097
GBR,2015,100.0,92.768
GBR,2017,100.0,93.889
GBR,2018,100.0,92.315
GBR,2019,100.0,92.146
GBR,2020,100.0,90.427
GRC,2013,16.215,96.639
GRC,2015,26.031,97.884
GRC,2016,27.079,94.519
GRC,2017,30.411,91.095
GRC,2019,34.903,95.083
HUN,2016,84.948,88.494
HUN,2017,84.999,87.845
HUN,2018,85.451,86.765
HUN,2020,84.547,87.099
IRL,2017,92.482,99.933
IRL,2018,98.088,95.999
IRL,2019,99.179,100.0
IRL,2020,95.628,95.512
ISL,2013,96.043,90.171
ISL,2014,96.393,89.19
ISL,2015,96.543,89.51
ISL,2016,96.414,88.644
ISL,2017,96.862,90.236
ISL,2018,96.621,88.468
ISL,2019,96.337,89.655
ISL,2020,96.653,90.477
ISR,2013,100.0,89.725
ISR,2014,97.552,90.622
ISR,2015,100.0,90.919
ISR,2016,100.0,92.051
ISR,2018,100.0,91.489
ISR,2019,100.0,91.763
ISR,2020,100.0,92.158
ITA,2013,94.409,93.022
ITA,2014,92.041,92.082
ITA,2015,92.068,92.403
ITA,2016,92.396,91.723
ITA,2017,91.255,94.646
ITA,2018,90.927,91.692
ITA,2019,92.214,92.317
ITA,2020,92.065,92.456
JPN,2014,81.226,98.659
JPN,2015,80.609,95.6
JPN,2016,84.408,93.055
JPN,2018,82.817,94.322
JPN,2020,85.442,96.938
KOR,2013,92.717,94.807
KOR,2014,90.008,94.532
KOR,2016,96.709,96.636
KOR,2018,92.165,98.126
KOR,2019,95.057,98.612
KOR,2020,97.776,79.728
LTU,2013,74.822,97.985
LTU,2014,77.863,98.15
LTU,2015,76.994,98.284
LTU,2016,78.149,98.628
LTU,2017,80.095,98.83
LTU,2018,82.942,98.916
