"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GDP","TOT","USD_CAP","A","1960",2412.627589,
"AUS","GDP","TOT","USD_CAP","A","1961",2383.188902,
"AUS","GDP","TOT","USD_CAP","A","1962",2577.332834,
"AUS","GDP","TOT","USD_CAP","A","1963",2752.620592,
"AUS","GDP","TOT","USD_CAP","A","1964",2902.590472,
"AUS","GDP","TOT","USD_CAP","A","1965",3001.900269,
"AUS","GDP","TOT","USD_CAP","A","1966",3275.594754,
"AUS","GDP","TOT","USD_CAP","A","1967",3447.128012,
"AUS","GDP","TOT","USD_CAP","A","1968",3833.100887,
"AUS","GDP","TOT","USD_CAP","A","1969",4207.900059,
"AUS","GDP","TOT","USD_CAP","A","1970",4652.052555,
"AUS","GDP","TOT","USD_CAP","A","1971",4863.656325,
"AUS","GDP","TOT","USD_CAP","A","1972",5210.710998,
"AUS","GDP","TOT","USD_CAP","A","1973",5796.441599,
"AUS","GDP","TOT","USD_CAP","A","1974",6245.992541,
"AUS","GDP","TOT","USD_CAP","A","1975",6939.246847,
"AUS","GDP","TOT","USD_CAP","A","1976",7396.879985,
"AUS","GDP","TOT","USD_CAP","A","1977",7727.601527,
"AUS","GDP","TOT","USD_CAP","A","1978",8553.932397,
"AUS","GDP","TOT","USD_CAP","A","1979",9456.681329,
"AUS","GDP","TOT","USD_CAP","A","1980",10478.42327,
"AUS","GDP","TOT","USD_CAP","A","1981",11956.491969,
"AUS","GDP","TOT","USD_CAP","A","1982",11988.843953,
"AUS","GDP","TOT","USD_CAP","A","1983",12781.125663,
"AUS","GDP","TOT","USD_CAP","A","1984",13609.040018,
"AUS","GDP","TOT","USD_CAP","A","1985",14514.107374,
"AUS","GDP","TOT","USD_CAP","A","1986",14983.686193,
"AUS","GDP","TOT","USD_CAP","A","1987",16053.05751,
"AUS","GDP","TOT","USD_CAP","A","1988",17129.659482,
"AUS","GDP","TOT","USD_CAP","A","1989",17835.122957,
"AUS","GDP","TOT","USD_CAP","A","1990",17838.098144,
"AUS","GDP","TOT","USD_CAP","A","1991",18177.563681,
"AUS","GDP","TOT","USD_CAP","A","1992",19157.690963,
"AUS","GDP","TOT","USD_CAP","A","1993",20184.946005,
"AUS","GDP","TOT","USD_CAP","A","1994",21432.775454,
"AUS","GDP","TOT","USD_CAP","A","1995",22442.316842,
"AUS","GDP","TOT","USD_CAP","A","1996",23289.401829,
"AUS","GDP","TOT","USD_CAP","A","1997",24477.413795,
"AUS","GDP","TOT","USD_CAP","A","1998",25708.263828,
"AUS","GDP","TOT","USD_CAP","A","1999",27139.248201,
"AUS","GDP","TOT","USD_CAP","A","2000",28312.859441,
"AUS","GDP","TOT","USD_CAP","A","2001",29546.415014,
"AUS","GDP","TOT","USD_CAP","A","2002",30807.514079,
"AUS","GDP","TOT","USD_CAP","A","2003",32391.486238,
"AUS","GDP","TOT","USD_CAP","A","2004",34000.173773,
"AUS","GDP","TOT","USD_CAP","A","2005",35659.125487,
"AUS","GDP","TOT","USD_CAP","A","2006",37938.792079,
"AUS","GDP","TOT","USD_CAP","A","2007",39687.44861,
"AUS","GDP","TOT","USD_CAP","A","2008",40130.341686,
"AUS","GDP","TOT","USD_CAP","A","2009",41672.92375,
"AUS","GDP","TOT","USD_CAP","A","2010",42816.42896,
"AUS","GDP","TOT","USD_CAP","A","2011",44440.579478,
"AUS","GDP","TOT","USD_CAP","A","2012",43884.635595,
"AUS","GDP","TOT","USD_CAP","A","2013",47763.2159,
"AUS","GDP","TOT","USD_CAP","A","2014",47606.754929,
"AUS","GDP","TOT","USD_CAP","A","2015",47226.759745,
"AUS","GDP","TOT","USD_CAP","A","2016",50136.798381,
"AUS","GDP","TOT","USD_CAP","A","2017",50706.489861,
"AUS","GDP","TOT","USD_CAP","A","2018",53025.386896,
"AUS","GDP","TOT","USD_CAP","A","2019",52785.250556,
"AUS","GDP","TOT","USD_CAP","A","2020",55772.741079,
"AUS","GDP","TOT","USD_CAP","A","2021",62095.40433,
"AUS","GDP","TOT","USD_CAP","A","2022",70011.35139,"E"
"AUT","GDP","TOT","USD_CAP","A","1970",3829.646689,"E"
"AUT","GDP","TOT","USD_CAP","A","1971",4210.347708,"E"
"AUT","GDP","TOT","USD_CAP","A","1972",4638.431362,"E"
"AUT","GDP","TOT","USD_CAP","A","1973",5103.316706,"E"
"AUT","GDP","TOT","USD_CAP","A","1974",5772.030257,"E"
"AUT","GDP","TOT","USD_CAP","A","1975",6300.403784,"E"
"AUT","GDP","TOT","USD_CAP","A","1976",6963.323109,"E"
"AUT","GDP","TOT","USD_CAP","A","1977",7768.711478,"E"
"AUT","GDP","TOT","USD_CAP","A","1978",8304.353702,"E"
"AUT","GDP","TOT","USD_CAP","A","1979",9491.2402,"E"
"AUT","GDP","TOT","USD_CAP","A","1980",10527.764347,"E"
"AUT","GDP","TOT","USD_CAP","A","1981",11477.980004,"E"
"AUT","GDP","TOT","USD_CAP","A","1982",12423.32151,"E"
"AUT","GDP","TOT","USD_CAP","A","1983",13315.239773,"E"
"AUT","GDP","TOT","USD_CAP","A","1984",13803.556965,"E"
"AUT","GDP","TOT","USD_CAP","A","1985",14589.051633,"E"
"AUT","GDP","TOT","USD_CAP","A","1986",15215.699333,"E"
"AUT","GDP","TOT","USD_CAP","A","1987",15793.565749,"E"
"AUT","GDP","TOT","USD_CAP","A","1988",16865.676111,"E"
"AUT","GDP","TOT","USD_CAP","A","1989",18126.308279,"E"
"AUT","GDP","TOT","USD_CAP","A","1990",19473.072125,"E"
"AUT","GDP","TOT","USD_CAP","A","1991",20617.579156,"E"
"AUT","GDP","TOT","USD_CAP","A","1992",21293.2684,"E"
"AUT","GDP","TOT","USD_CAP","A","1993",21732.871184,"E"
