"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",24916.3811313874,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",25393.9388735172,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",25581.2188418266,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",26402.0212615495,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",27299.6736016452,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",28447.4277034279,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",30474.3522723057,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",30032.2094939555,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2015",30597.0276338189,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2016",29290.3455991883,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2017",29915.5926235433,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2018",30777.4413527314,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2019",30918.2139569988,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2020",32673.0607293031,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2021",32368.4234066942,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29186.9432167276,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30385.7648249351,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30119.9218011729,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29940.8084873073,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30360.1041808595,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",31072.643726386,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31685.5544464571,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31934.9987011428,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32193.9574422192,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",33258.2891477411,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",34379.9581297719,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",36263.6231113921,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",38038.6382688688,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2020",39703.217498366,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2021",41258.3559005822,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16992.2036766479,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17934.5260469879,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18629.1187017599,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19246.2639273033,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19394.281379418,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19842.0680912546,
