"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.7484281,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.8287115,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.8444961,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.882858,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.8967082,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.885928,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.8811557,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.9729007,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.133321,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.264779,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2016",1.157713,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2017",1.287303,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2018",1.230631,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2019",1.275049,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2020",1.195328,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.0848139,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.0941667,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.0952197,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.1085892,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2016",0.1120239,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2017",0.1524991,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2018",0.1829094,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2019",0.1927455,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2020",0.184251,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.1106903,
