Country ,"Student teacher ratio, primary school ",Global rank ,Year
South Korea,29.71,1,1995
Mexico,28.71,2,1995
Turkey,27.75,3,1995
Colombia,24.81,4,1995
Ireland,23.32,5,1995
Slovakia,21.98,6,1995
Czechia,20.19,7,1995
France,18.77,8,1995
Australia,18.15,9,1995
Spain,17.84,10,1995
Germany,17.46,11,1995
Lithuania,16.48,12,1995
Canada,16.23,13,1995
Greece,16.09,14,1995
Slovenia,15.07,15,1995
Latvia,13.17,16,1995
Austria,11.69,17,1995
Hungary,11.39,18,1995
Italy,10.97,19,1995
Sweden,10.52,20,1995
Denmark,9.94,21,1995
South Korea,28.39,1,1996
Mexico,28.34,2,1996
Colombia,25.36,3,1996
Ireland,22.54,4,1996
New Zealand,19.18,5,1996
Czechia,19.1,6,1996
France,18.74,7,1996
Australia,18.07,8,1996
Germany,17.04,9,1996
Finland,16.5,10,1996
Canada,16.48,11,1996
Lithuania,16.33,12,1996
Greece,14.96,13,1996
Slovenia,13.99,14,1996
Latvia,13.51,15,1996
Austria,12.45,16,1996
Sweden,11.21,17,1996
Italy,11.18,18,1996
South Korea,30.91,1,1997
Mexico,27.91,2,1997
Ireland,22.15,3,1997
France,18.96,4,1997
New Zealand,18.32,5,1997
Australia,17.88,6,1997
Finland,17.75,7,1997
Germany,17.19,8,1997
Lithuania,16.01,9,1997
Greece,13.94,10,1997
Latvia,13.48,11,1997
Austria,12.22,12,1997
Hungary,12.02,13,1997
Sweden,11.83,14,1997
Chile,33.23,1,1998
South Korea,30.9,2,1998
Mexico,27.57,3,1998
Ireland,25.84,4,1998
Colombia,23.29,5,1998
France,20.32,6,1998
New Zealand,19.43,7,1998
Slovakia,19.31,8,1998
Canada,17.95,9,1998
Australia,17.88,10,1998
Czechia,17.67,11,1998
Finland,17.61,12,1998
Germany,17.44,13,1998
Spain,15.48,14,1998
Latvia,15.45,15,1998
Lithuania,15.43,16,1998
Slovenia,13.75,17,1998
Greece,13.61,18,1998
Sweden,12.45,19,1998
Austria,12.15,20,1998
Italy,10.88,21,1998
Hungary,10.75,22,1998
Denmark,9.91,23,1998
South Korea,32.23,1,1999
Chile,31.98,2,1999
Mexico,27.23,3,1999
Colombia,24.02,4,1999
Ireland,21.59,5,1999
France,18.91,6,1999
Slovakia,18.77,7,1999
UK,18.69,8,1999
Czechia,18.29,9,1999
New Zealand,18.27,10,1999
Australia,17.88,11,1999
Finland,17.27,12,1999
Canada,17.26,13,1999
Germany,17.02,14,1999
Lithuania,16.53,15,1999
Estonia,15.67,16,1999
Latvia,15.39,17,1999
Spain,15.04,18,1999
Slovenia,14.12,19,1999
Greece,13.54,20,1999
Austria,13.46,21,1999
Israel,13.22,22,1999
Sweden,12.32,23,1999
Italy,11.33,24,1999
Hungary,10.65,25,1999
Denmark,10.03,26,1999
Chile,32.23,1,2000
South Korea,32.12,2,2000
Mexico,27.16,3,2000
Colombia,26.45,4,2000
France,18.75,5,2000
UK,18.66,6,2000
New Zealand,18.45,7,2000
Slovakia,17.58,8,2000
Canada,17.42,9,2000
Czechia,16.89,10,2000
Finland,16.69,11,2000
Lithuania,16.45,12,2000
Germany,15.28,13,2000
Latvia,15.1,14,2000
Spain,14.54,15,2000
Estonia,14.32,16,2000
Israel,13.57,17,2000
Greece,13.41,18,2000
Portugal,13.24,19,2000
Sweden,11.84,20,2000
Italy,10.96,21,2000
Hungary,10.71,22,2000
Denmark,10.12,23,2000
South Korea,32.02,1,2001
Mexico,26.98,2,2001
Colombia,26.02,3,2001
Ireland,20.29,4,2001
Slovakia,19.7,5,2001
France,18.75,6,2001
Czechia,17.71,7,2001
UK,17.59,8,2001
New Zealand,17.46,9,2001
