Country,Years_Pay_Off_Loan,Min_Wage_Hours_To_Afford_Degree,Cost_Per_Year(Euro),Junior_Salary(Euro),Senior_Salary(Euro),Cost_Per_Year(USD),Junior_Salary(USD),Senior_Salary(USD)
Australia,5,1490,5939,51048,96902,5647.989,48546.648,92153.802
Austria,0,15,41,41595,75558,38.991,39556.845,71855.658
Belgium,1,506,1555,50651,91263,1478.805,48169.101,86791.113
Canada,8,3642,9176,47833,90994,8726.376,45489.183,86535.294
Chile,11,9004,5757,24975,46620,5474.907,23751.225,44335.62
Czechia,0,0,0,19134,34393,0,18196.434,32707.743
Denmark,0,0,0,52045,97223,0,49494.795,92459.073
Finland,0,0,0,43119,79728,0,41006.169,75821.328
France,4,932,2785,31192,58875,2648.535,29663.592,55990.125
Germany,1,166,499,31931,67900,474.549,30366.381,64572.9
Greece,1,217,311,20469,36628,295.761,19466.019,34833.228
Iceland,1,197,919,47686,101664,873.969,45349.386,96682.464
Ireland,8,2455,7231,41605,78274,6876.681,39566.355,74438.574
Israel,14,4158,9442,29911,56982,8979.342,28445.361,54189.882
Italy,4,1344,2834,29636,54776,2695.134,28183.836,52091.976
Japan,9,3470,8132,37963,72067,7733.532,36102.813,68535.717
Lithuania,2,982,1095,21401,39458,1041.345,20352.351,37524.558
Mexico,10,13084,3364,13964,26036,3199.164,13279.764,24760.236
Netherlands,3,760,2210,39704,75830,2101.71,37758.504,72114.33
New Zealand,5,2017,5439,46013,87427,5172.489,43758.363,83143.077
Norway,0,25,125,45598,96795,118.875,43363.698,92052.045
Poland,4,1610,1686,16879,32874,1603.386,16051.929,31263.174
Portugal,2,705,991,22048,39508,942.441,20967.648,37572.108
South Korea,5,1537,3655,34860,63618,3475.905,33151.86,60500.718
Spain,8,2453,4882,27945,51090,4642.782,26575.695,48586.59
Sweden,0,0,0,34430,65569,0,32742.93,62356.119
Switzerland,1,198,1373,81776,146116,1305.723,77768.976,138956.316
Turkey,0,41,24,9804,17936,22.824,9323.604,17057.136
United Kingdom,12,3215,11405,37460,66806,10846.155,35624.46,63532.506
USA,19,12264,27091,59456,113268,25763.541,56542.656,107717.868
Colombia,,,,,,,,
Costa Rica,,,,,,,,
Estonia,,,,,,,,
Hungary,,,,,,,,
Latvia,,,,,,,,
Luxembourg,,,,,,,,
Slovak,,,,,,,,
Slovenia,,,,,,,,
,,,,,,,,
,,,,,,,,
